Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR11856162_1_paired	2.8760226928234776	18.06533323888079
SRR11856162_2_paired	1.6070933969328336	17.390047995743746
SRR11856164_1_paired	3.21071605145889	25.804087244867084
SRR11856164_2_paired	2.170635098923548	26.69341161002744
SRR11856165_1_paired	5.207903755118636	33.92511665166168
SRR11856165_2_paired	2.6938789339683833	34.647237630567574
SRR11856166_1_paired	2.0302072903630988	46.41603692343956
SRR11856166_2_paired	1.8925190044117701	49.86322901824175
