Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11856162_1_paired	(1.0, 15.270856728508306)	(2.0, 8.887187438800812)	(3.0, 4.668644687419477)	(4.0, 2.8746710405559988)	(5.0, 2.0174265423035758)	(6.0, 1.6363416622206723)	(7.0, 1.3480252829606918)	(8.0, 1.0997079453281178)	(9.0, 0.9827778868846756)	('>10', 12.12640864295212)	('>50', 3.7519676363338457)	('>100', 6.4965053057941615)	('>500', 2.287225368227511)	('>1k', 5.5735389664395205)	('>5k', 3.9399982967987155)	('>10k+', 27.0387165684718)
SRR11856162_2_paired	(1.0, 19.70546766609383)	(2.0, 11.359333119449753)	(3.0, 5.652331051312516)	(4.0, 3.278668465244267)	(5.0, 2.2776272912786975)	(6.0, 1.6766064914730872)	(7.0, 1.3697781753422464)	(8.0, 1.0850202315201598)	(9.0, 0.9089926709926119)	('>10', 9.350697702635827)	('>50', 2.3818297418845225)	('>100', 3.76005281179188)	('>500', 1.4278525548818437)	('>1k', 5.426919155051704)	('>5k', 4.199048548719502)	('>10k+', 26.13977432232752)
SRR11856164_1_paired	(1.0, 12.182155074885038)	(2.0, 7.419739847812743)	(3.0, 4.026178158417158)	(4.0, 2.4144038847351648)	(5.0, 1.7814695152845437)	(6.0, 1.3707790684130166)	(7.0, 1.1143539248608427)	(8.0, 0.895883561304621)	(9.0, 0.7925888038437418)	('>10', 9.91312776979343)	('>50', 3.015748660120921)	('>100', 5.529441439141093)	('>500', 2.1483594913815005)	('>1k', 5.761706536975604)	('>5k', 5.1402326719401685)	('>10k+', 36.49383159109049)
SRR11856164_2_paired	(1.0, 15.69411261021639)	(2.0, 9.467786019824846)	(3.0, 4.941006776202085)	(4.0, 2.756280034073766)	(5.0, 1.8905823404350204)	(6.0, 1.3833598291729632)	(7.0, 1.0557877980498303)	(8.0, 0.8743534244376917)	(9.0, 0.7355866309437769)	('>10', 7.391386869047454)	('>50', 1.9823908678405766)	('>100', 3.24185303007341)	('>500', 1.4429896215249416)	('>1k', 6.163107354950723)	('>5k', 4.9862793950322155)	('>10k+', 35.99313739817424)
SRR11856165_1_paired	(1.0, 11.965755408650397)	(2.0, 6.264347211967913)	(3.0, 3.0918103611764307)	(4.0, 1.9036048570140764)	(5.0, 1.3425105982040477)	(6.0, 1.0289081641697653)	(7.0, 0.8431893488349669)	(8.0, 0.6992099295825033)	(9.0, 0.5840035793013781)	('>10', 7.161302181029967)	('>50', 2.297121849851469)	('>100', 4.672700887033873)	('>500', 2.1642013713334345)	('>1k', 7.257757737107362)	('>5k', 5.32798638623667)	('>10k+', 43.39559012850576)
SRR11856165_2_paired	(1.0, 15.113634904790164)	(2.0, 7.768962739728505)	(3.0, 3.5665129818823478)	(4.0, 1.9082033457967502)	(5.0, 1.302254819520496)	(6.0, 0.9244404525567445)	(7.0, 0.6896153622199707)	(8.0, 0.6040603336017426)	(9.0, 0.48895617754726467)	('>10', 5.340402079366877)	('>50', 1.510740273455136)	('>100', 3.257603650177969)	('>500', 1.8893055965208805)	('>1k', 7.908664448016216)	('>5k', 5.4879961974534295)	('>10k+', 42.23864663736551)
SRR11856166_1_paired	(1.0, 10.505886299973586)	(2.0, 2.6047977272516154)	(3.0, 1.2981065676004793)	(4.0, 0.8357021681839814)	(5.0, 0.6399837157938797)	(6.0, 0.501317632235118)	(7.0, 0.42130685376313615)	(8.0, 0.35803336626783383)	(9.0, 0.3000037071071103)	('>10', 4.017199302289713)	('>50', 1.5398770616777986)	('>100', 4.297567031182878)	('>500', 2.5601661830894784)	('>1k', 9.682276260395115)	('>5k', 6.792721425725838)	('>10k+', 53.64505469746241)
SRR11856166_2_paired	(1.0, 10.695485032940667)	(2.0, 2.7570124569455197)	(3.0, 1.2921780882776368)	(4.0, 0.8207737915449532)	(5.0, 0.5671985402014705)	(6.0, 0.4648108957377094)	(7.0, 0.378427542832235)	(8.0, 0.3322085107942771)	(9.0, 0.27981692069725267)	('>10', 3.4009713544404163)	('>50', 1.211879148195353)	('>100', 2.9877941688976026)	('>500', 1.4741419458583378)	('>1k', 8.92016120807922)	('>5k', 6.716972822412459)	('>10k+', 57.7001675721449)
