Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR11856162_1_paired	(0.0, 3.610203518203499e-05)	(1.0, 5.2147384151828316e-05)	(2.0, 8.82494193338633e-05)	(3.0, 0.00015644215245548494)	(4.0, 0.0002988446245624007)	(5.0, 0.0004552867770178857)	(6.0, 0.0005595815453215422)	(7.0, 0.0006979726801860097)	(8.0, 0.0008323524778080288)	(9.0, 0.0010690213751124804)	(10.0, 0.0014420757386601753)	(11.0, 0.001827164113935215)	(12.0, 0.002396774002362878)	(13.0, 0.0033153702308835464)	(14.0, 0.004498714717405804)	(15.0, 0.006247657755113276)	(16.0, 0.008780817223719399)	(17.0, 0.012667803011651832)	(18.0, 0.018319777186261533)	(19.0, 0.02691206155958586)	(20.0, 0.039174719509750405)	(21.0, 0.06120698931389787)	(22.0, 0.09946912960099127)	(23.0, 0.14330502298646666)	(24.0, 0.201331021867103)	(25.0, 0.26919281966622266)	(26.0, 0.3438197377247314)	(27.0, 0.44466676166850366)	(28.0, 0.5616353499896758)	(29.0, 0.6954174583625701)	(30.0, 0.821742490801753)	(31.0, 0.9499267780528107)	(32.0, 1.092906882722639)	(33.0, 1.2439437582439248)	(34.0, 1.3999968109868923)	(35.0, 1.6371390460859527)	(36.0, 1.815487111222448)	(37.0, 1.959796974188148)	(38.0, 2.0880314031547362)	(39.0, 2.1589438229267377)	(40.0, 2.217344881839543)	(41.0, 2.244728275525117)	(42.0, 2.467231135357862)	(43.0, 2.545682863477045)	(44.0, 2.531500780656369)	(45.0, 2.484574151925587)	(46.0, 2.2718088132488856)	(47.0, 2.1888904611102356)	(48.0, 2.162451737345259)	(49.0, 2.0883743724889654)	(50.0, 2.04203139332696)	(51.0, 2.3520856998133826)	(52.0, 2.7807712939079723)	(53.0, 2.5963039338081217)	(54.0, 2.536849898869174)	(55.0, 2.9902012056675784)	(56.0, 2.8467778482324593)	(57.0, 2.313831582200774)	(58.0, 2.2244870677997226)	(59.0, 1.9768912878468416)	(60.0, 1.854864403262942)	(61.0, 3.2083337135746763)	(62.0, 4.914515896277649)	(63.0, 5.541199090990868)	(64.0, 3.9435376203764703)	(65.0, 2.29083859712706)	(66.0, 2.4160946081911305)	(67.0, 2.444065662782723)	(68.0, 2.43401726299039)	(69.0, 1.8921999246470298)	(70.0, 0.8966522081358544)	(71.0, 0.5153806202470042)	(72.0, 0.6044182673490085)	(73.0, 0.4245880131014286)	(74.0, 0.120492548088663)	(75.0, 0.10207248747134023)	(76.0, 0.09275013971989032)	(77.0, 0.07516243158037562)	(78.0, 0.05348115378494238)	(79.0, 0.03188210840297934)	(80.0, 0.020947203080065188)	(81.0, 0.01846819666423212)	(82.0, 0.016163683418445554)	(83.0, 0.025841034515852155)	(84.0, 0.0275378301694078)	(85.0, 0.013421934413232117)	(86.0, 0.019990499147741262)	(87.0, 0.017605759157105726)	(88.0, 0.0022062354833465823)	(89.0, 0.000302855961804849)	(90.0, 0.00016446482694038158)	(91.0, 8.223241347019079e-05)	(92.0, 4.813604690937998e-05)	(93.0, 2.406802345468999e-05)	(94.0, 1.4039680348569161e-05)	(95.0, 1.604534896979333e-05)	(96.0, 1.0028343106120829e-05)	(97.0, 2.005668621224166e-06)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11856162_2_paired	(0.0, 0.0016670792387948287)	(1.0, 0.0010434236962241015)	(2.0, 0.00038578692216714863)	(3.0, 0.0003637990664995909)	(4.0, 0.00048773061662582524)	(5.0, 0.0006176588546613935)	(6.0, 0.000721601445089848)	(7.0, 0.0008315407234276365)	(8.0, 0.0009854557131005403)	(9.0, 0.0012313199173832308)	(10.0, 0.0015091664571823692)	(11.0, 0.0018729655236819599)	(12.0, 0.0024106685395522344)	(13.0, 0.0035080624269603414)	(14.0, 0.0050791946592058275)	(15.0, 0.0070680961491349096)	(16.0, 0.010434236962241016)	(17.0, 0.015415485718927723)	(18.0, 0.023355100510885827)	(19.0, 0.036409890089505764)	(20.0, 0.055457369785520065)	(21.0, 0.0818248065228613)	(22.0, 0.12166680099247584)	(23.0, 0.1774599853009186)	(24.0, 0.24242010652676316)	(25.0, 0.32150442667505885)	(26.0, 0.42272452079267575)	(27.0, 0.5360539266952077)	(28.0, 0.6522677394821292)	(29.0, 0.7803330064738644)	(30.0, 0.9075547393663532)	(31.0, 1.0304468635883028)	(32.0, 1.15354287519917)	(33.0, 1.2837209752309604)	(34.0, 1.4232199271698256)	(35.0, 1.5709223481686594)	(36.0, 1.7099775452022337)	(37.0, 1.8323319664083133)	(38.0, 1.9409379811342597)	(39.0, 2.0187849846772634)	(40.0, 2.0733688369239904)	(41.0, 2.130191452656869)	(42.0, 2.1561810980559217)	(43.0, 2.108655347478481)	(44.0, 2.0796713559167004)	(45.0, 2.075185833360518)	(46.0, 2.024207989443271)	(47.0, 1.9722107085814362)	(48.0, 1.9226800653463076)	(49.0, 1.860260540898051)	(50.0, 1.818955354578559)	(51.0, 1.8236987347148423)	(52.0, 1.8127787660319452)	(53.0, 2.4969368918159125)	(54.0, 2.8186891815912234)	(55.0, 2.434751238196119)	(56.0, 2.306977810015972)	(57.0, 2.2150086064464873)	(58.0, 2.561157421532939)	(59.0, 2.5494658790057074)	(60.0, 2.4036644080741327)	(61.0, 3.234353601818644)	(62.0, 4.060909078697654)	(63.0, 4.754827813502047)	(64.0, 5.443041699208693)	(65.0, 5.324453198009675)	(66.0, 3.969625496445803)	(67.0, 2.66792245307072)	(68.0, 1.960221330554708)	(69.0, 1.2573315506379517)	(70.0, 0.9274977244568281)	(71.0, 0.6133372415747335)	(72.0, 0.34879735224640723)	(73.0, 0.27867008493868667)	(74.0, 0.2197846085649974)	(75.0, 0.15817263808853094)	(76.0, 0.15497440453688618)	(77.0, 0.14415038286053847)	(78.0, 0.11937206841917072)	(79.0, 0.08897685630272688)	(80.0, 0.06920977405759252)	(81.0, 0.060030843764372066)	(82.0, 0.03818890750260816)	(83.0, 0.024708353082425513)	(84.0, 0.014779836800538326)	(85.0, 0.016193056251171352)	(86.0, 0.01509166457182369)	(87.0, 0.006376478143591731)	(88.0, 0.002382683995975343)	(89.0, 0.00100544467279832)	(90.0, 0.0007555826765760735)	(91.0, 0.0004937273045351591)	(92.0, 0.00032182225113425357)	(93.0, 0.00026185537204091437)	(94.0, 0.00018389842921957342)	(95.0, 0.00011393707027734441)	(96.0, 6.996135894222902e-05)	(97.0, 3.59801274560035e-05)	(98.0, 2.798454357689161e-05)	(99.0, 3.198233551644755e-05)	(100.0, 6.796246297245106e-05)
SRR11856164_1_paired	(0.0, 7.08307748667195e-05)	(1.0, 7.791385235339145e-05)	(2.0, 8.49969298400634e-05)	(3.0, 0.00013457847224676705)	(4.0, 0.0002502687378624089)	(5.0, 0.0003801251584513947)	(6.0, 0.0004769272174359113)	(7.0, 0.0005501190181315214)	(8.0, 0.0006610872320893821)	(9.0, 0.0009019118666362284)	(10.0, 0.0012324554826809192)	(11.0, 0.001496890375516672)	(12.0, 0.0018959037405991922)	(13.0, 0.002604211489266387)	(14.0, 0.0035320946400204125)	(15.0, 0.0049274609048947865)	(16.0, 0.007033495944265247)	(17.0, 0.010197270554978717)	(18.0, 0.014867379644524425)	(19.0, 0.021523111456167168)	(20.0, 0.03139456044675897)	(21.0, 0.04941154854702352)	(22.0, 0.0792147775851102)	(23.0, 0.11222427969883038)	(24.0, 0.15544521852250262)	(25.0, 0.2091892494655405)	(26.0, 0.27081202359958645)	(27.0, 0.3514788320694644)	(28.0, 0.43967731293350354)	(29.0, 0.5359268918740598)	(30.0, 0.6443782522983229)	(31.0, 0.7583024705939545)	(32.0, 0.8691479112087128)	(33.0, 0.9930403805539207)	(34.0, 1.139988267118246)	(35.0, 1.333384614814337)	(36.0, 1.495339181547091)	(37.0, 1.6908439253083811)	(38.0, 1.8067041847837033)	(39.0, 1.8278943915979968)	(40.0, 1.8789444920702705)	(41.0, 1.92781064365082)	(42.0, 2.2636689288363443)	(43.0, 2.3765070752506863)	(44.0, 2.2988930731775636)	(45.0, 2.2089072957610543)	(46.0, 1.9422837319819202)	(47.0, 1.846220674081846)	(48.0, 1.8071881950786257)	(49.0, 1.753699154925108)	(50.0, 1.7457236096751156)	(51.0, 2.120652150277122)	(52.0, 2.793620064337482)	(53.0, 2.7136544805387843)	(54.0, 2.7648013830700426)	(55.0, 3.4994298476777104)	(56.0, 3.2037302508157874)	(57.0, 2.414920965486737)	(58.0, 2.3717543302571293)	(59.0, 2.0894889703615944)	(60.0, 1.990630457880114)	(61.0, 3.77719509234338)	(62.0, 5.546982277266549)	(63.0, 6.107213569023209)	(64.0, 4.5605456859560345)	(65.0, 2.72170793964113)	(66.0, 2.804213987231714)	(67.0, 2.8515549161268003)	(68.0, 2.969799811689302)	(69.0, 2.348590305849883)	(70.0, 1.0467301079028941)	(71.0, 0.5766144499833323)	(72.0, 0.7384651315796154)	(73.0, 0.5136317249718454)	(74.0, 0.10955159846052617)	(75.0, 0.09567584966413581)	(76.0, 0.08867540808147503)	(77.0, 0.07080008153094391)	(78.0, 0.04906919980183438)	(79.0, 0.02699124727587791)	(80.0, 0.015094038124097925)	(81.0, 0.012808565121731777)	(82.0, 0.011484029631724122)	(83.0, 0.01856710711839607)	(84.0, 0.020127745191292793)	(85.0, 0.01042392903455222)	(86.0, 0.01394185751959929)	(87.0, 0.012126228657182379)	(88.0, 0.0017164657776035026)	(89.0, 0.0002077702729423772)	(90.0, 0.0001227733431023138)	(91.0, 6.846974903782884e-05)	(92.0, 3.77764132622504e-05)	(93.0, 1.4166154973343899e-05)	(94.0, 4.7220516577813e-06)	(95.0, 2.36102582889065e-06)	(96.0, 4.7220516577813e-06)	(97.0, 4.7220516577813e-06)	(98.0, 4.7220516577813e-06)	(99.0, 2.36102582889065e-06)	(100.0, 0.0)
SRR11856164_2_paired	(0.0, 0.0013737231056194278)	(1.0, 0.000865023593811551)	(2.0, 0.0003211605212796273)	(3.0, 0.00030006238484519925)	(4.0, 0.00037976645581970525)	(5.0, 0.0004500935772677988)	(6.0, 0.0004899456127550519)	(7.0, 0.0005673054463479548)	(8.0, 0.0006774846032833014)	(9.0, 0.0008462696947587259)	(10.0, 0.0010549068217214036)	(11.0, 0.0012893305598817154)	(12.0, 0.0017980300716895921)	(13.0, 0.0025481860338025905)	(14.0, 0.003584338956471169)	(15.0, 0.005255780209554192)	(16.0, 0.007846162516225639)	(17.0, 0.011500828594144903)	(18.0, 0.017335635436955064)	(19.0, 0.026993893449159912)	(20.0, 0.04131015113861016)	(21.0, 0.061458871433488965)	(22.0, 0.09179095891405173)	(23.0, 0.13522030064563112)	(24.0, 0.1833920346001936)	(25.0, 0.244564909073127)	(26.0, 0.3199462063159569)	(27.0, 0.40111308141658325)	(28.0, 0.48752167130247426)	(29.0, 0.5841839554954973)	(30.0, 0.6877242321661438)	(31.0, 0.7954395956134255)	(32.0, 0.9069573120936675)	(33.0, 1.025908605310973)	(34.0, 1.1587119972161712)	(35.0, 1.2970384123924266)	(36.0, 1.4312436582518235)	(37.0, 1.5469411499834638)	(38.0, 1.6519442307802308)	(39.0, 1.727766244650802)	(40.0, 1.7700891063382647)	(41.0, 1.8289552512277005)	(42.0, 1.8494298205186221)	(43.0, 1.7927180297828793)	(44.0, 1.7538036892482678)	(45.0, 1.7315662534463805)	(46.0, 1.672538356177614)	(47.0, 1.6196758032224639)	(48.0, 1.5802691728377154)	(49.0, 1.5192768046431655)	(50.0, 1.5029023065326674)	(51.0, 1.5641572293139572)	(52.0, 1.5430848794907266)	(53.0, 1.6005960551735958)	(54.0, 2.912801683424995)	(55.0, 3.6666498194140176)	(56.0, 2.658051062928802)	(57.0, 2.226486337925194)	(58.0, 2.796433739802216)	(59.0, 2.7497716947214057)	(60.0, 2.483710128858978)	(61.0, 3.7115419652717176)	(62.0, 4.820145888456122)	(63.0, 5.62837095474881)	(64.0, 6.506681686039288)	(65.0, 6.448230471166395)	(66.0, 4.908516605030415)	(67.0, 3.2721709297873716)	(68.0, 2.332558390967972)	(69.0, 1.412574151744736)	(70.0, 0.988968112651671)	(71.0, 0.6269780088966621)	(72.0, 0.32541531212723696)	(73.0, 0.26739309269517814)	(74.0, 0.21115952638528254)	(75.0, 0.14179119802626464)	(76.0, 0.15518851466212646)	(77.0, 0.14766116842979884)	(78.0, 0.11796202504226895)	(79.0, 0.0835720626541512)	(80.0, 0.060068738666198315)	(81.0, 0.05138568340474037)	(82.0, 0.029333442355999828)	(83.0, 0.019063338387196562)	(84.0, 0.011271093330747795)	(85.0, 0.011641482837041087)	(86.0, 0.011210143158826114)	(87.0, 0.005438630725319236)	(88.0, 0.0021543541536932663)	(89.0, 0.0009564488516940725)	(90.0, 0.0006446652799408577)	(91.0, 0.00040320882963573647)	(92.0, 0.0002977181474635961)	(93.0, 0.00021801407648909006)	(94.0, 0.00014299848027779025)	(95.0, 9.376949526412476e-05)	(96.0, 4.922898501366549e-05)	(97.0, 1.1721186908015595e-05)	(98.0, 1.1721186908015595e-05)	(99.0, 2.344237381603119e-05)	(100.0, 7.735983359290292e-05)
SRR11856165_1_paired	(0.0, 7.131111607779829e-05)	(1.0, 5.645463356159031e-05)	(2.0, 5.645463356159031e-05)	(3.0, 9.805278460697264e-05)	(4.0, 0.00021096205173015326)	(5.0, 0.0003298139118598171)	(6.0, 0.0004219241034603065)	(7.0, 0.0005199768880672792)	(8.0, 0.0006150583761710103)	(9.0, 0.000683398195745567)	(10.0, 0.0007814509803525395)	(11.0, 0.0010161834041086256)	(12.0, 0.0014262223215559659)	(13.0, 0.0018956871690681378)	(14.0, 0.002356238127070585)	(15.0, 0.0031347178109198833)	(16.0, 0.00439454752829432)	(17.0, 0.006025789308573956)	(18.0, 0.008667271899955734)	(19.0, 0.012726062923383753)	(20.0, 0.019292628195547678)	(21.0, 0.0299447261596688)	(22.0, 0.04782004592317023)	(23.0, 0.06841410198713774)	(24.0, 0.09367606485769778)	(25.0, 0.1272992560883797)	(26.0, 0.16898060343585275)	(27.0, 0.2222173228844324)	(28.0, 0.2816254251702449)	(29.0, 0.35205703748308365)	(30.0, 0.42819651037864953)	(31.0, 0.5056582102181579)	(32.0, 0.5896567623647978)	(33.0, 0.68319020499034)	(34.0, 0.7848323157732284)	(35.0, 0.9169807277548984)	(36.0, 1.0380462037794773)	(37.0, 1.2060522219622667)	(38.0, 1.3062591965340895)	(39.0, 1.3280536563853667)	(40.0, 1.398972561324737)	(41.0, 1.447526517484208)	(42.0, 1.8041236960242446)	(43.0, 1.9222743301791436)	(44.0, 1.8678104652747254)	(45.0, 1.8017110032636126)	(46.0, 1.5278644323388542)	(47.0, 1.4856363664347847)	(48.0, 1.5550755657155408)	(49.0, 1.5232084107182746)	(50.0, 1.4231084028205685)	(51.0, 1.7706520409152282)	(52.0, 2.153628389811044)	(53.0, 2.106833441181492)	(54.0, 2.3513711433982754)	(55.0, 3.187315701620266)	(56.0, 3.2030754582734593)	(57.0, 2.438442016129267)	(58.0, 2.430493797983096)	(59.0, 2.392544399043694)	(60.0, 2.939031194512895)	(61.0, 5.625074319553788)	(62.0, 8.809594031164503)	(63.0, 10.131776405659464)	(64.0, 6.6733239555253965)	(65.0, 2.88434151107423)	(66.0, 2.615834359965797)	(67.0, 2.5189017541405465)	(68.0, 2.5710628642549525)	(69.0, 1.952459731355575)	(70.0, 0.8318709107160461)	(71.0, 0.5511220180142576)	(72.0, 0.5463144602720127)	(73.0, 0.34482787309069685)	(74.0, 0.1303299785216861)	(75.0, 0.1142433792531361)	(76.0, 0.10599506016013742)	(77.0, 0.09517359829533154)	(78.0, 0.07992193334419244)	(79.0, 0.05159062118578382)	(80.0, 0.03289225229088446)	(81.0, 0.03313589860415027)	(82.0, 0.030250769699502682)	(83.0, 0.06135133019893246)	(84.0, 0.07276408006788343)	(85.0, 0.03890912770994869)	(86.0, 0.061116597775176376)	(87.0, 0.05383097874922799)	(88.0, 0.006453656005040745)	(89.0, 0.0005526611496029368)	(90.0, 0.00024661760976905244)	(91.0, 0.00014559352865883818)	(92.0, 8.616759859400626e-05)	(93.0, 4.1598151045382335e-05)	(94.0, 1.7827779019449572e-05)	(95.0, 5.942593006483191e-06)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11856165_2_paired	(0.0, 0.0013442287396222446)	(1.0, 0.0008106642618335904)	(2.0, 0.0002535168237006865)	(3.0, 0.00023582960344249905)	(4.0, 0.0002417253435285615)	(5.0, 0.000247621083614624)	(6.0, 0.00030657848447524877)	(7.0, 0.0004539719866268107)	(8.0, 0.0005541995680898728)	(9.0, 0.0005777825284341227)	(10.0, 0.0006426356693808099)	(11.0, 0.0007929770415754031)	(12.0, 0.0010848161758354956)	(13.0, 0.0015387881624623065)	(14.0, 0.002263964193047991)	(15.0, 0.0032249698270761743)	(16.0, 0.004746070769280294)	(17.0, 0.007048357272887691)	(18.0, 0.010450199302545739)	(19.0, 0.01602167368387478)	(20.0, 0.024172534352856153)	(21.0, 0.03615267820773511)	(22.0, 0.05407572806936503)	(23.0, 0.0802793448818697)	(24.0, 0.11192767766385309)	(25.0, 0.15439174563371807)	(26.0, 0.2048976030809723)	(27.0, 0.25751708334907986)	(28.0, 0.3197053497768669)	(29.0, 0.3923732942076299)	(30.0, 0.46448998694034616)	(31.0, 0.537514623646316)	(32.0, 0.6183098457857161)	(33.0, 0.7052366376146213)	(34.0, 0.7967709503207844)	(35.0, 0.9032981300658041)	(36.0, 1.0125432459904988)	(37.0, 1.1084197712700468)	(38.0, 1.1853975017037215)	(39.0, 1.2450240690641143)	(40.0, 1.2980149809576438)	(41.0, 1.3667445710109172)	(42.0, 1.4012375983844256)	(43.0, 1.368059321050109)	(44.0, 1.3559347315631216)	(45.0, 1.354457848671563)	(46.0, 1.3365731211204925)	(47.0, 1.3297930200215207)	(48.0, 1.2935754886728388)	(49.0, 1.2479306689265433)	(50.0, 1.2624106065779126)	(51.0, 1.3399985461104946)	(52.0, 1.321533088160947)	(53.0, 1.3812952575433195)	(54.0, 2.4138663326061724)	(55.0, 3.125367194062235)	(56.0, 2.5865142374163828)	(57.0, 2.3144140409644276)	(58.0, 2.8945843441334054)	(59.0, 3.130938668443564)	(60.0, 3.3386308523253296)	(61.0, 5.097619011261983)	(62.0, 6.176224024916813)	(63.0, 6.597869668651743)	(64.0, 8.658816999706215)	(65.0, 9.197743653103144)	(66.0, 5.65298888375894)	(67.0, 2.7104721727258463)	(68.0, 1.9430914867340836)	(69.0, 1.3494936355190983)	(70.0, 1.03474660315461)	(71.0, 0.6461259475117589)	(72.0, 0.39304246070739807)	(73.0, 0.31503592362870536)	(74.0, 0.2371531970918201)	(75.0, 0.17566652373427452)	(76.0, 0.1936898011773675)	(77.0, 0.1805511443955773)	(78.0, 0.1531683795658601)	(79.0, 0.12168512750628648)	(80.0, 0.11041247246173502)	(81.0, 0.10690155924048482)	(82.0, 0.06674272564427026)	(83.0, 0.04182143230048418)	(84.0, 0.025894090457986397)	(85.0, 0.033817965133654364)	(86.0, 0.031368285127895405)	(87.0, 0.011983091724921983)	(88.0, 0.004141757410458889)	(89.0, 0.0015564753827204938)	(90.0, 0.001090711915921558)	(91.0, 0.0007133845504135596)	(92.0, 0.00044512837649771694)	(93.0, 0.0002800476540879676)	(94.0, 0.0001621328523667181)	(95.0, 0.00010907119159215582)	(96.0, 5.6009530817593526e-05)	(97.0, 1.768722025818743e-05)	(98.0, 2.0635090301218666e-05)	(99.0, 1.768722025818743e-05)	(100.0, 5.011379073153105e-05)
SRR11856166_1_paired	(0.0, 8.93387910996408e-05)	(1.0, 7.742695228635536e-05)	(2.0, 6.849307317639128e-05)	(3.0, 0.00011614042842953304)	(4.0, 0.00023525881656238744)	(5.0, 0.00029779597033213604)	(6.0, 0.0003067298494421001)	(7.0, 0.00031864168825538556)	(8.0, 0.00033055352706867097)	(9.0, 0.000446693955498204)	(10.0, 0.0006075037794775575)	(11.0, 0.0007444899258303401)	(12.0, 0.0010095283394259411)	(13.0, 0.0014919578113640013)	(14.0, 0.002307918770074054)	(15.0, 0.0033680724244564584)	(16.0, 0.004446093837058791)	(17.0, 0.006247759457568214)	(18.0, 0.009166159966823148)	(19.0, 0.013272766397703301)	(20.0, 0.01959199688815123)	(21.0, 0.02964856680626746)	(22.0, 0.04534539240247435)	(23.0, 0.06306127467753313)	(24.0, 0.08620299953204341)	(25.0, 0.11541082830221931)	(26.0, 0.1482011425954908)	(27.0, 0.1876114613092457)	(28.0, 0.2357412460343255)	(29.0, 0.2901991951289632)	(30.0, 0.34070836965699686)	(31.0, 0.391074602119271)	(32.0, 0.45314123825589475)	(33.0, 0.5197641527386002)	(34.0, 0.5917354828484709)	(35.0, 0.6824232896937162)	(36.0, 1.0375152047177552)	(37.0, 2.1606914203015495)	(38.0, 1.9870227663232543)	(39.0, 1.09190763869892)	(40.0, 1.0654603785737229)	(41.0, 1.006746925063039)	(42.0, 1.9721895490410104)	(43.0, 2.1074157212091302)	(44.0, 1.233143333548342)	(45.0, 1.0550196518538784)	(46.0, 0.9771132480552881)	(47.0, 1.00735740680222)	(48.0, 1.084912411355818)	(49.0, 1.269831797093261)	(50.0, 1.2526936390006467)	(51.0, 1.293310031394247)	(52.0, 1.9639018871866674)	(53.0, 2.4967601287407715)	(54.0, 3.631484872054046)	(55.0, 5.039779883512937)	(56.0, 4.48183233145835)	(57.0, 3.460651235713313)	(58.0, 4.735390710397647)	(59.0, 5.633260450747554)	(60.0, 6.276532504221705)	(61.0, 8.317241928076436)	(62.0, 7.16164168724288)	(63.0, 5.400887277137685)	(64.0, 4.670709425641507)	(65.0, 2.7366586065209337)	(66.0, 1.8692414820971912)	(67.0, 1.7758199082442967)	(68.0, 1.5310345985909843)	(69.0, 1.0935276487775267)	(70.0, 0.5847223877471491)	(71.0, 0.3308900365151463)	(72.0, 0.2775815798659906)	(73.0, 0.19425528940735565)	(74.0, 0.07885339498424629)	(75.0, 0.06879384710642673)	(76.0, 0.06435370918877459)	(77.0, 0.05094097868501518)	(78.0, 0.041456177029936654)	(79.0, 0.03266821794543532)	(80.0, 0.021572340090859933)	(81.0, 0.019764718550943867)	(82.0, 0.020104205957122503)	(83.0, 0.018993426987783637)	(84.0, 0.017903493736368018)	(85.0, 0.016247748141321343)	(86.0, 0.01618223302784827)	(87.0, 0.011670624077316411)	(88.0, 0.004130430108506727)	(89.0, 0.0019535415653788124)	(90.0, 0.0012537210350982927)	(91.0, 0.000735556046720376)	(92.0, 0.00043180415698159725)	(93.0, 0.00036331108380520594)	(94.0, 0.00026206045389227966)	(95.0, 0.0001697437030893175)	(96.0, 0.00010720654931956897)	(97.0, 5.95591940664272e-05)	(98.0, 4.7647355253141764e-05)	(99.0, 2.6801637329892244e-05)	(100.0, 5.9559194066427204e-06)
SRR11856166_2_paired	(0.0, 0.0008378189294880136)	(1.0, 0.0005213765280626848)	(2.0, 0.0001567143321344486)	(3.0, 8.739837753651941e-05)	(4.0, 0.00012356322341369985)	(5.0, 0.00020192038948092417)	(6.0, 0.00023205776104524118)	(7.0, 0.0002772638183917168)	(8.0, 0.0003104149271124655)	(9.0, 0.00035863472161537274)	(10.0, 0.0004490468363083239)	(11.0, 0.0005695963225655921)	(12.0, 0.0007082282317614504)	(13.0, 0.0009101486212423747)	(14.0, 0.0013802916176457204)	(15.0, 0.002076464900781444)	(16.0, 0.0030860668481860645)	(17.0, 0.004608004112184075)	(18.0, 0.006910499299697896)	(19.0, 0.01059629984201387)	(20.0, 0.01643390871402208)	(21.0, 0.025264158582366976)	(22.0, 0.03836788773853202)	(23.0, 0.05483193382411842)	(24.0, 0.07477383258822701)	(25.0, 0.10384735493632366)	(26.0, 0.13784532379802972)	(27.0, 0.17576416470025338)	(28.0, 0.21987623545894425)	(29.0, 0.2660044963752879)	(30.0, 0.31665034928912267)	(31.0, 0.36875485098667043)	(32.0, 0.4279356075275198)	(33.0, 0.5055785178886698)	(34.0, 0.5776460145104212)	(35.0, 0.6357267569891729)	(36.0, 0.7005552569611753)	(37.0, 0.7594768321065716)	(38.0, 0.7971334778761857)	(39.0, 0.8228496970320174)	(40.0, 0.8421406285703367)	(41.0, 0.9798262242990756)	(42.0, 1.0410050885746391)	(43.0, 0.9103415004203861)	(44.0, 0.8941969104733817)	(45.0, 0.9274806236290133)	(46.0, 0.9384506268784247)	(47.0, 1.1091908917389066)	(48.0, 1.1035130109361893)	(49.0, 0.9477359510573907)	(50.0, 1.0096441397248108)	(51.0, 1.1186660813587277)	(52.0, 1.1324659837980284)	(53.0, 1.6724764486989305)	(54.0, 5.283747271136349)	(55.0, 6.671567204198834)	(56.0, 4.144518461159287)	(57.0, 3.5833756713174862)	(58.0, 4.726727273724546)	(59.0, 4.5422353262192665)	(60.0, 4.076420056372556)	(61.0, 7.272060360092166)	(62.0, 9.032634373347907)	(63.0, 7.763823906855752)	(64.0, 7.106910577656864)	(65.0, 5.799867841598216)	(66.0, 3.402946241499076)	(67.0, 1.7127821694290482)	(68.0, 1.0794121548962048)	(69.0, 0.6468293646734673)	(70.0, 0.4214349764810966)	(71.0, 0.2444080559122983)	(72.0, 0.14868875008687096)	(73.0, 0.12019989274712209)	(74.0, 0.08472820641592092)	(75.0, 0.06361697763511684)	(76.0, 0.06771566016786396)	(77.0, 0.058526775577903686)	(78.0, 0.04896720131770232)	(79.0, 0.0364360822212593)	(80.0, 0.027632955987322294)	(81.0, 0.02695185138996873)	(82.0, 0.022934539760445266)	(83.0, 0.01933312385850938)	(84.0, 0.01490895771286764)	(85.0, 0.017449538135739566)	(86.0, 0.01813968394456243)	(87.0, 0.010023689782291848)	(88.0, 0.004427179882798173)	(89.0, 0.0034507290441143012)	(90.0, 0.002637020011877741)	(91.0, 0.001515909789685147)	(92.0, 0.0008769975125216257)	(93.0, 0.0005876787455041823)	(94.0, 0.00046110178493405065)	(95.0, 0.0003797308817103947)	(96.0, 0.00027425008123528507)	(97.0, 0.00018082422938590223)	(98.0, 0.00012959069772656328)	(99.0, 0.00011753574910083645)	(100.0, 0.00015370059497801688)
