Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11856162_1_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0009754733683909328)	(26, 0.00029652754385049317)	(28, 0.00016360140350372038)	(30, 2.0450175437965046e-06)	(32, 0.004274086666534695)	(34, 0.001842560806960651)	(36, 0.0020087140552177084)	(38, 0.000737108705843503)	(40, 0.00316648472872049)	(42, 0.00027078304487041215)	(44, 0.0018725312923180265)	(46, 0.0012125000202939623)	(48, 0.00034968697256405385)	(50, 7.20598065099488e-05)	(52, 0.001679576946097986)	(54, 0.0009262262064297468)	(56, 0.0027815267471983708)	(58, 0.0)	(60, 0.0)	(62, 0.0001512243475342663)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 2.083599513171141e-06)	(74, 6.258048893885686e-06)	(76, 2.088477252806997e-06)	(78, 8.363734287758084e-06)	(80, 0.001467497925039578)	(82, 0.0006434586569324296)	(84, 0.00011541702174013909)	(86, 6.723268463177225e-05)	(88, 0.00047750540406749195)	(90, 0.0002506255846262981)	(92, 0.0039011837330169873)	(94, 0.0019236732894099525)	(96, 1.6916029022238933e-05)	(98, 0.0016072626077363586)	(100, 0.002814158606657693)	(102, 0.001688504480961687)	(104, 0.00536945864262766)	(106, 0.0006797002926546557)	(108, 0.0010969602293013955)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 2.154398409019863e-06)	(120, 0.0)	(122, 0.0)	(124, 4.4051681609070484e-05)
SRR11856162_2_paired	(1, 0.0)	(2, 0.002057287649059284)	(3, 0.00015133129824094135)	(4, 0.0013742517894312512)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 3.885533333213359e-05)	(36, 0.000493010713941089)	(38, 0.001046636525992573)	(40, 0.00025428849341286165)	(42, 0.0007063213398669426)	(44, 0.0008983503060897399)	(46, 0.0007183855550573057)	(48, 0.0018405981791557884)	(50, 0.0005241888059563037)	(52, 0.00065084304008908)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
SRR11856164_1_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0009596662151024235)	(26, 0.0002573540977843592)	(28, 0.0001370951735860605)	(30, 2.4051784839659736e-06)	(32, 0.004011837711255245)	(34, 0.0017990735060065485)	(36, 0.0019919511700596075)	(38, 0.0006862622057151146)	(40, 0.003313979052952999)	(42, 0.0003015282682872131)	(44, 0.0018637853896511338)	(46, 0.0012322892251433008)	(48, 0.00036516515029218167)	(50, 7.745172028863062e-05)	(52, 0.0016642616833713803)	(54, 0.0008365476565681382)	(56, 0.002844584315578572)	(58, 0.0)	(60, 0.0)	(62, 0.0001679834172613381)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 2.4456341639440643e-06)	(72, 2.4484459505433998e-06)	(74, 2.4512685964572844e-06)	(76, 2.454174608682472e-06)	(78, 9.828254447708981e-06)	(80, 0.0014489382001289677)	(82, 0.0006748580642952549)	(84, 0.0001504227854319823)	(86, 6.912718120019156e-05)	(88, 0.0004325479103659884)	(90, 0.00021034645719525074)	(92, 0.003872770542879672)	(94, 0.001848451950025005)	(96, 2.484560074103495e-05)	(98, 0.0016895075311975402)	(100, 0.002661377801268341)	(102, 0.0016097780665117868)	(104, 0.005199775759670364)	(106, 0.0005934351053672825)	(108, 0.0010458525588162273)	(110, 0.0)	(112, 0.0)	(114, 2.5203838564776486e-06)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 4.402150994555963e-05)
SRR11856164_2_paired	(1, 0.0)	(2, 0.0019049013593010512)	(3, 6.734499755104727e-05)	(4, 0.0012218306698547148)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 5.0508748163285446e-05)	(36, 0.00041143840140349093)	(38, 0.000881849045658626)	(40, 0.00020266757333061694)	(42, 0.0005121959286656999)	(44, 0.000791123296614164)	(46, 0.0006856939052715082)	(48, 0.0018442008449254704)	(50, 0.0005005964996105675)	(52, 0.0005255952475677715)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
SRR11856165_1_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 6.0503973901005815e-06)	(20, 0.0)	(22, 0.0)	(24, 0.0010467187484874006)	(26, 0.0002662174851644256)	(28, 0.00021781430604362096)	(30, 3.0251986950502908e-06)	(32, 0.004326034133921916)	(34, 0.0019331019661371358)	(36, 0.0019123940168332431)	(38, 0.0007238980681250476)	(40, 0.0034623226382025345)	(42, 0.0002488288959049197)	(44, 0.0018738518671202744)	(46, 0.0012279850995558523)	(48, 0.0003559297624634282)	(50, 8.22040526232592e-05)	(52, 0.0017703963524350265)	(54, 0.0007807596425340775)	(56, 0.0028389305290804933)	(58, 0.0)	(60, 0.0)	(62, 0.00012856805431596223)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 6.160912625844727e-06)	(76, 3.0837506907216078e-06)	(78, 1.8522065150993727e-05)	(80, 0.0014988086479961053)	(82, 0.0006527658477858321)	(84, 0.00013936571319149435)	(86, 4.650384986771515e-05)	(88, 0.0004841498795196128)	(90, 0.00018951834905781576)	(92, 0.0037883828028322172)	(94, 0.001750094153197014)	(96, 1.5589433681395502e-05)	(98, 0.001504830192713175)	(100, 0.0026698334517876537)	(102, 0.0016154051041541834)	(104, 0.0054712049386701446)	(106, 0.0007033605247069514)	(108, 0.0010880685515892452)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 3.5645212698872744e-05)
SRR11856165_2_paired	(1, 0.0)	(2, 0.0022083950473867123)	(3, 0.00014520953736241396)	(4, 0.0012826842467013233)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 4.840317912080465e-05)	(36, 0.00048119934487886925)	(38, 0.001085040602795216)	(40, 0.00017906672909519616)	(42, 0.0006017796264772094)	(44, 0.000830888299942276)	(46, 0.0007041380486115571)	(48, 0.0017493801912399224)	(50, 0.00047086082378324136)	(52, 0.0006215049911749354)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
SRR11856166_1_paired	(1, 0.0)	(2, 0.00045093068077375507)	(3, 0.0004756392112271115)	(4, 0.0)	(5, 0.001581345949014812)	(6, 0.009413950102728805)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 1.5442831533347775e-05)	(24, 7.721415766673887e-05)	(26, 0.0)	(28, 0.15402680171361072)	(30, 4.632849460004332e-05)	(32, 3.088566306669555e-06)	(34, 0.003579648349430015)	(36, 2.781552017634298e-05)	(38, 6.200241704022348e-06)	(40, 0.0039361111856743985)	(42, 0.0035932274400057346)	(44, 0.002810892696420028)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 1.2662669399608395e-05)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 6.376192826272974e-06)	(74, 0.0005110428208848252)	(76, 9.280529212897836e-05)	(78, 0.000407241510826243)	(80, 0.0004337787705777821)	(82, 9.015446583205311e-05)	(84, 0.00015487814365122062)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 3.327904411935995e-06)	(106, 1.0026610624597683e-05)	(108, 0.0)	(110, 0.0005233547036503991)	(112, 0.000787866342142709)	(114, 3.41585002232258e-06)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)
SRR11856166_2_paired	(1, 0.0)	(2, 0.0)	(3, 1.235426522667822e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.00032738802850697284)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0001575168816401473)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 9.379569902323347e-06)	(56, 3.130073359842342e-06)	(58, 7.207203142039748e-05)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00012590448998703625)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 2.2138522442753183e-05)	(76, 2.5334060463092058e-05)	(78, 0.0002980679709761704)	(80, 9.525394670440078e-06)	(82, 0.0009314809599887281)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 7.463874442055104e-05)	(112, 3.250668085431588e-06)	(114, 3.2568086434398676e-06)	(116, 0.0)	(118, 0.0)	(120, 1.3208833473429523e-05)	(122, 1.6595018228631823e-05)	(124, 0.0)
