Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11856162_1_paired	(1, 31.802112241360497)	(2, 32.64546156618568)	(3, 32.61854259125318)	(4, 32.770595044480764)	(5, 32.78444513029788)	(6, 36.335184305979126)	(7, 36.55146662932192)	(8, 36.63472101134461)	(9, 36.67902431231377)	(10, 36.68864470879523)	(12, 36.69537473883081)	(14, 36.682898045895755)	(16, 36.68951883109415)	(18, 36.67568105628264)	(20, 36.671702576902064)	(22, 36.6599569981891)	(24, 36.6702600828772)	(26, 36.66247001799779)	(28, 36.66032679871154)	(30, 36.648641875218914)	(32, 36.63574507432985)	(34, 36.622968745424274)	(36, 36.59329223391496)	(38, 36.57428939311676)	(40, 36.57792339789452)	(42, 36.584082210053985)	(44, 36.59362735705752)	(46, 36.6004732202603)	(48, 36.591844123983684)	(50, 36.572279729462394)	(52, 36.54957918949454)	(54, 36.5199341623881)	(56, 36.50535583754308)	(58, 36.478406949102705)	(60, 36.47078101031657)	(62, 36.456003619877855)	(64, 36.46357814920688)	(66, 36.46082197783069)	(68, 36.40636200319806)	(70, 36.41914946286339)	(72, 36.43749828380645)	(74, 36.43815339100728)	(76, 36.41475435675973)	(78, 36.416870182924924)	(80, 36.40782564091879)	(82, 36.40290413703306)	(84, 36.40471053476597)	(86, 36.4097767156007)	(88, 36.41005850935413)	(90, 36.40520931074527)	(92, 36.384005175131215)	(94, 36.36229585550411)	(96, 36.35413871507056)	(98, 36.335389054777224)	(100, 36.31908629546311)	(102, 36.29344268900378)	(104, 36.287479002290155)	(106, 36.28330314191423)	(108, 36.26451424510784)	(110, 36.26423995900912)	(112, 36.26703538029807)	(114, 36.2613642293038)	(116, 36.217549933352075)	(118, 36.20055468681032)	(120, 36.17824780387572)	(122, 36.1363814380547)	(124, 36.32196993362949)
SRR11856162_2_paired	(1, 32.75338683535498)	(2, 32.7743131317775)	(3, 32.79183496479379)	(4, 32.80831281635399)	(5, 32.81691718676916)	(6, 36.63192404084996)	(7, 36.610771156483594)	(8, 36.54354881219655)	(9, 36.51148260990701)	(10, 36.49019111425153)	(12, 36.564457439667486)	(14, 36.55902102637958)	(16, 36.52306957705929)	(18, 36.49626794523345)	(20, 36.48103346433989)	(22, 36.47895008226696)	(24, 36.54999333733284)	(26, 36.498115352731986)	(28, 36.541279742530655)	(30, 36.55939628709887)	(32, 36.567618198332994)	(34, 36.554741684017955)	(36, 36.56414620353969)	(38, 36.560825497048356)	(40, 36.558936161739105)	(42, 36.54922357027874)	(44, 36.55193309513241)	(46, 36.53604908655112)	(48, 36.53060254132888)	(50, 36.533857897789886)	(52, 36.551089913991916)	(54, 36.54608531959383)	(56, 36.54623995292536)	(58, 36.54842720347722)	(60, 36.53324449133945)	(62, 36.50226632163155)	(64, 36.522964482708716)	(66, 36.49734061521975)	(68, 36.48507746438837)	(70, 36.51605808100453)	(72, 36.51994295065518)	(74, 36.5182736562795)	(76, 36.50848506378992)	(78, 36.43770016598655)	(80, 36.47416839500701)	(82, 36.494661168893785)	(84, 36.49241112109143)	(86, 36.4802749160842)	(88, 36.45669567672344)	(90, 36.457063382716385)	(92, 36.443039242314896)	(94, 36.41804250977753)	(96, 36.42053709690142)	(98, 36.41427092200916)	(100, 36.41394736934467)	(102, 36.41486469012628)	(104, 36.400011267484935)	(106, 36.372162096260965)	(108, 36.34837660078304)	(110, 36.352021279157796)	(112, 36.35317323569811)	(114, 36.32813929996753)	(116, 36.32429222890399)	(118, 36.311005882150916)	(120, 36.28542657038301)	(122, 36.292656766283706)	(124, 36.4214328566024)
SRR11856164_1_paired	(1, 31.70725697186682)	(2, 32.63757909549703)	(3, 32.61484356863451)	(4, 32.77209408981263)	(5, 32.78631692036329)	(6, 36.32765260641015)	(7, 36.54878741002588)	(8, 36.63431190104441)	(9, 36.675864678501235)	(10, 36.68472761690394)	(12, 36.69389180391176)	(14, 36.680884189790135)	(16, 36.68946925792258)	(18, 36.67281219433188)	(20, 36.66683585493849)	(22, 36.65284603807936)	(24, 36.66497595446862)	(26, 36.66346956713233)	(28, 36.66200498179809)	(30, 36.64994402187597)	(32, 36.6370500524377)	(34, 36.62003040819054)	(36, 36.5801570400868)	(38, 36.55870108902678)	(40, 36.56590090343366)	(42, 36.5732622832802)	(44, 36.58742827487416)	(46, 36.59918903596541)	(48, 36.58758729436438)	(50, 36.57183666536859)	(52, 36.548272134211274)	(54, 36.51821365939319)	(56, 36.50170333079541)	(58, 36.472640109213756)	(60, 36.448295291719404)	(62, 36.43556363772505)	(64, 36.446856341072454)	(66, 36.44147947810745)	(68, 36.36788877095039)	(70, 36.39335594761042)	(72, 36.41139307061177)	(74, 36.411451684829586)	(76, 36.387292989341034)	(78, 36.39354674414713)	(80, 36.384587377143276)	(82, 36.37925509247073)	(84, 36.38698368966317)	(86, 36.40076065178667)	(88, 36.39732561838494)	(90, 36.38979915030983)	(92, 36.36424108835416)	(94, 36.338094993013016)	(96, 36.325385398611935)	(98, 36.30845957947278)	(100, 36.29327754991622)	(102, 36.267165089174284)	(104, 36.24727195937176)	(106, 36.24894517462158)	(108, 36.23308007177843)	(110, 36.23169019317511)	(112, 36.23958555888582)	(114, 36.23750200282792)	(116, 36.17864101586793)	(118, 36.16225768311493)	(120, 36.144672669548754)	(122, 36.09535494365918)	(124, 36.29575059799342)
SRR11856164_2_paired	(1, 32.7283865610556)	(2, 32.748469657086005)	(3, 32.767493656822786)	(4, 32.782669178570934)	(5, 32.78979519327966)	(6, 36.585675728641604)	(7, 36.55953105369234)	(8, 36.48663793472519)	(9, 36.46097333340132)	(10, 36.43626765268722)	(12, 36.51448783311602)	(14, 36.50835960670137)	(16, 36.47384993745092)	(18, 36.43464437367661)	(20, 36.42101033081883)	(22, 36.418570710178976)	(24, 36.50019929308918)	(26, 36.44060443001166)	(28, 36.48529524383652)	(30, 36.50491851784436)	(32, 36.515909870842876)	(34, 36.497848784312154)	(36, 36.51283020943123)	(38, 36.50683480268121)	(40, 36.50565177909962)	(42, 36.496554646784645)	(44, 36.50084387624533)	(46, 36.477692463118935)	(48, 36.470625948411424)	(50, 36.47542159675123)	(52, 36.49820022369943)	(54, 36.48941796126077)	(56, 36.49049337923568)	(58, 36.492354778380054)	(60, 36.477026052409585)	(62, 36.439926928648546)	(64, 36.46224764647342)	(66, 36.43370947997791)	(68, 36.42200433678908)	(70, 36.45899545079416)	(72, 36.465208400792804)	(74, 36.46512508628205)	(76, 36.45118330972876)	(78, 36.37695676607882)	(80, 36.4173209648343)	(82, 36.44049779999591)	(84, 36.43815005129319)	(86, 36.425752810269756)	(88, 36.39716073072446)	(90, 36.394756494514255)	(92, 36.374903335384644)	(94, 36.34061214454738)	(96, 36.343922293895105)	(98, 36.33994382430623)	(100, 36.34279775572851)	(102, 36.34430206203896)	(104, 36.32781063532953)	(106, 36.299820318174575)	(108, 36.279484023107834)	(110, 36.28233680711058)	(112, 36.29109240476973)	(114, 36.25520956736145)	(116, 36.2524343991752)	(118, 36.237361431571586)	(120, 36.20808905008936)	(122, 36.22056809880036)	(124, 36.36411870881025)
SRR11856165_1_paired	(1, 31.783471463905748)	(2, 32.632665550973385)	(3, 32.60828638224959)	(4, 32.76192533325589)	(5, 32.78075150775903)	(6, 36.33188256904714)	(7, 36.55652620064086)	(8, 36.64788018277041)	(9, 36.686561885884664)	(10, 36.69537320061181)	(12, 36.707250251696536)	(14, 36.69685569923233)	(16, 36.70623617484196)	(18, 36.683747180514814)	(20, 36.677249053717844)	(22, 36.66014700045499)	(24, 36.67629348420604)	(26, 36.67912116767829)	(28, 36.6759344838769)	(30, 36.66458009637073)	(32, 36.64859573301774)	(34, 36.63103397056119)	(36, 36.57283495436594)	(38, 36.54329635589285)	(40, 36.545467096820616)	(42, 36.55915959186561)	(44, 36.588287458509804)	(46, 36.61105987078491)	(48, 36.60042061430187)	(50, 36.58717883535432)	(52, 36.56615922995721)	(54, 36.53688169975527)	(56, 36.5236403223267)	(58, 36.476331653651904)	(60, 36.48466165486012)	(62, 36.480021731822994)	(64, 36.47645092255297)	(66, 36.464436655270475)	(68, 36.41020625202699)	(70, 36.4211864048324)	(72, 36.44864743872903)	(74, 36.44891003563535)	(76, 36.41979099850036)	(78, 36.40925355972511)	(80, 36.417352903681405)	(82, 36.420667771649754)	(84, 36.41609179646598)	(86, 36.432469264695726)	(88, 36.44090093174178)	(90, 36.44072880146393)	(92, 36.4180124118819)	(94, 36.40267091301793)	(96, 36.38604323038535)	(98, 36.35866045121618)	(100, 36.339119220525106)	(102, 36.304530606917)	(104, 36.29574298490553)	(106, 36.29819172192367)	(108, 36.2901694392103)	(110, 36.280845882233656)	(112, 36.293497920955666)	(114, 36.3029940604717)	(116, 36.234293667263714)	(118, 36.20898381747682)	(120, 36.18845842306922)	(122, 36.14192714503732)	(124, 36.347083966934996)
SRR11856165_2_paired	(1, 32.72910949041133)	(2, 32.75127578679368)	(3, 32.76530780791683)	(4, 32.78319381116952)	(5, 32.794182179885574)	(6, 36.59540296856697)	(7, 36.54239943029458)	(8, 36.41753707683521)	(9, 36.38252518175394)	(10, 36.33836372447942)	(12, 36.48767730689552)	(14, 36.48065412661303)	(16, 36.421896932690544)	(18, 36.36950817529696)	(20, 36.34567944147572)	(22, 36.34494507449249)	(24, 36.481326870298844)	(26, 36.39483187155732)	(28, 36.47725044530925)	(30, 36.49375753274475)	(32, 36.50037618345773)	(34, 36.46433054773038)	(36, 36.50043413768895)	(38, 36.49993512683018)	(40, 36.49825197574434)	(42, 36.49958951861183)	(44, 36.49150863129297)	(46, 36.452527952956814)	(48, 36.45653423339705)	(50, 36.457844231147746)	(52, 36.50011332178899)	(54, 36.49032039333002)	(56, 36.49510721395093)	(58, 36.499206967854064)	(60, 36.48825242918095)	(62, 36.427515865061395)	(64, 36.43940742991057)	(66, 36.36925543113287)	(68, 36.3503964805395)	(70, 36.46032674076419)	(72, 36.48038203488154)	(74, 36.474662105139274)	(76, 36.45426346016403)	(78, 36.38742911849957)	(80, 36.429985275865675)	(82, 36.45162458951549)	(84, 36.45925393042636)	(86, 36.43225265569422)	(88, 36.421551055345596)	(90, 36.41440974483875)	(92, 36.363151896780806)	(94, 36.33884270275266)	(96, 36.36173351169461)	(98, 36.34160023217013)	(100, 36.350920803991826)	(102, 36.37051312189834)	(104, 36.3495958074724)	(106, 36.30715884504835)	(108, 36.27868970717668)	(110, 36.300780648402295)	(112, 36.29907992983006)	(114, 36.27085942769975)	(116, 36.275379209931316)	(118, 36.24759739375389)	(120, 36.23896126234038)	(122, 36.24575402171753)	(124, 36.38194651789732)
SRR11856166_1_paired	(1, 20.86148373119318)	(2, 28.361918138044214)	(3, 31.690657043682396)	(4, 32.46179211836177)	(5, 32.66858868147931)	(6, 35.601307414826145)	(7, 36.118428233548244)	(8, 36.5025812692908)	(9, 36.4909509640064)	(10, 36.55040957168936)	(12, 36.52809798488962)	(14, 36.53248686849706)	(16, 36.566180995792074)	(18, 36.548085363772266)	(20, 36.55930995498662)	(22, 36.553432413305025)	(24, 36.574895076769714)	(26, 36.57982550959336)	(28, 36.501124855848886)	(30, 36.51936259280447)	(32, 36.53512308338246)	(34, 36.49792568798278)	(36, 36.448778905969576)	(38, 36.44309509362685)	(40, 36.41951226097982)	(42, 36.41470782425058)	(44, 36.40780110879323)	(46, 36.449654667756164)	(48, 36.44309773437774)	(50, 36.44837899561674)	(52, 36.41939236029097)	(54, 36.29182796721099)	(56, 36.291292111457594)	(58, 36.22115040470615)	(60, 36.209091122176986)	(62, 36.23005874554274)	(64, 36.230650095484634)	(66, 36.20322562801164)	(68, 36.14688752846837)	(70, 36.133222508864264)	(72, 36.13708599132186)	(74, 36.11292312473489)	(76, 36.07014619364837)	(78, 36.06214392862435)	(80, 36.076583878150295)	(82, 36.066902306983025)	(84, 36.03598312000605)	(86, 36.003238617458784)	(88, 35.97082953807158)	(90, 35.92607332389932)	(92, 35.87845161538242)	(94, 35.87528169002349)	(96, 35.8133584965303)	(98, 35.81523512064449)	(100, 35.73760822437241)	(102, 35.71256608246629)	(104, 35.658651369203845)	(106, 35.63911487356764)	(108, 35.54427521091997)	(110, 35.44104503680739)	(112, 35.472483617500586)	(114, 35.457293379338935)	(116, 35.31626536427731)	(118, 35.21093914943902)	(120, 35.233700392793594)	(122, 35.17208174469816)	(124, 35.55934336942481)
SRR11856166_2_paired	(1, 32.6902826476747)	(2, 32.73584758691241)	(3, 32.764762806446775)	(4, 32.76807276118631)	(5, 32.75398025084224)	(6, 36.547499895143176)	(7, 36.54219787690717)	(8, 36.571942005866916)	(9, 36.54857934906735)	(10, 36.53167469910106)	(12, 36.530232740149465)	(14, 36.51285347019882)	(16, 36.516233288308214)	(18, 36.51307980033778)	(20, 36.4951483873885)	(22, 36.47947882420257)	(24, 36.46925063536442)	(26, 36.480309617653404)	(28, 36.47837707082966)	(30, 36.500195722446854)	(32, 36.49174648603001)	(34, 36.46148758572393)	(36, 36.482716019376134)	(38, 36.47048331498119)	(40, 36.483384296607156)	(42, 36.4835023330021)	(44, 36.46945168389517)	(46, 36.446026374761)	(48, 36.449601783905386)	(50, 36.457588047171384)	(52, 36.4734701378817)	(54, 36.456642578901594)	(56, 36.45666346903078)	(58, 36.465500216471156)	(60, 36.459928020894786)	(62, 36.426090201194526)	(64, 36.42711725815738)	(66, 36.40525274699213)	(68, 36.40086010804022)	(70, 36.41409804333074)	(72, 36.420928621861805)	(74, 36.3819192408884)	(76, 36.36304407798527)	(78, 36.378495265412)	(80, 36.369141183257625)	(82, 36.3828785110088)	(84, 36.39217267580534)	(86, 36.37814139203235)	(88, 36.34836626892022)	(90, 36.34500106540642)	(92, 36.291538734158564)	(94, 36.25481990300406)	(96, 36.25489811995857)	(98, 36.260590183641014)	(100, 36.25322110822266)	(102, 36.26775545014304)	(104, 36.276571937042604)	(106, 36.252286126650205)	(108, 36.26949981109519)	(110, 36.243956865797294)	(112, 36.22639023372856)	(114, 36.19074056812367)	(116, 36.22693361006144)	(118, 36.21597280069148)	(120, 36.18084746661323)	(122, 36.159543692236554)	(124, 36.31274224717973)
