Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11856162_1	(1.0, 14.847429437760148)	(2.0, 8.658317372600234)	(3.0, 4.634590032854379)	(4.0, 2.8402868134558137)	(5.0, 1.977052848858934)	(6.0, 1.5759714526188136)	(7.0, 1.3421346468074136)	(8.0, 1.1003723737447855)	(9.0, 0.9346924570514061)	('>10', 12.099327612508421)	('>50', 3.7522487152071524)	('>100', 6.511372145220099)	('>500', 2.2691469549087526)	('>1k', 5.486664149168447)	('>5k', 3.6802162292232294)	('>10k+', 28.290176758011874)
SRR11856162_2	(1.0, 19.499260423003832)	(2.0, 11.027135051857833)	(3.0, 5.671748068631362)	(4.0, 3.224655912577392)	(5.0, 2.295276886818318)	(6.0, 1.6391737914152649)	(7.0, 1.3636879240302242)	(8.0, 1.0680351334020477)	(9.0, 0.8648443616164551)	('>10', 9.369124982921761)	('>50', 2.4000619586445735)	('>100', 3.7390653852164135)	('>500', 1.4080905626158746)	('>1k', 5.413132496218631)	('>5k', 3.8007515597580643)	('>10k+', 27.21595550127198)
SRR11856164_1	(1.0, 11.760623980620467)	(2.0, 7.219712674877482)	(3.0, 3.9563463238932846)	(4.0, 2.3980968433976284)	(5.0, 1.7318352157075507)	(6.0, 1.3379796768235428)	(7.0, 1.1128896061064308)	(8.0, 0.8953700417189174)	(9.0, 0.7919230707038167)	('>10', 9.848007175760717)	('>50', 3.0358274801813656)	('>100', 5.489745853848733)	('>500', 2.1687484515427697)	('>1k', 5.701996500576692)	('>5k', 4.556914835997496)	('>10k+', 37.993982268242945)
SRR11856164_2	(1.0, 15.605778719457067)	(2.0, 9.176291677091855)	(3.0, 4.902030482996868)	(4.0, 2.7393201685732214)	(5.0, 1.8726065808924492)	(6.0, 1.3623036981898244)	(7.0, 1.0512113481656695)	(8.0, 0.8826289196105692)	(9.0, 0.7260452280609033)	('>10', 7.449620757938072)	('>50', 1.9347926008455818)	('>100', 3.2516751221921374)	('>500', 1.4206795854446286)	('>1k', 6.13214866946942)	('>5k', 4.567577501051498)	('>10k+', 36.92528894002024)
SRR11856165_1	(1.0, 11.533363114641348)	(2.0, 6.105119141240721)	(3.0, 3.0285078108070316)	(4.0, 1.851164074606977)	(5.0, 1.3246918494803332)	(6.0, 1.0220192506648957)	(7.0, 0.8439374348136162)	(8.0, 0.6881680213518013)	(9.0, 0.5724592758984445)	('>10', 7.097195302430244)	('>50', 2.272780704254176)	('>100', 4.608207396730316)	('>500', 2.1097123327594893)	('>1k', 6.697745662672086)	('>5k', 5.2765981355661085)	('>10k+', 44.96833049208242)
SRR11856165_2	(1.0, 15.270241776471035)	(2.0, 7.524810041475602)	(3.0, 3.5283068056949687)	(4.0, 1.9064166299608145)	(5.0, 1.2827463844620817)	(6.0, 0.9178265630470661)	(7.0, 0.6873460900110939)	(8.0, 0.5859722543440163)	(9.0, 0.4901686429027301)	('>10', 5.278311158559632)	('>50', 1.569787073769931)	('>100', 3.2006004626842737)	('>500', 1.8458662584862802)	('>1k', 7.7304652309912445)	('>5k', 5.022523929133061)	('>10k+', 43.158610698006136)
SRR11856166_1	(1.0, 10.031861482120304)	(2.0, 2.5278248218755976)	(3.0, 1.2493619446668693)	(4.0, 0.8170456814582578)	(5.0, 0.6228201268035366)	(6.0, 0.48318715877572904)	(7.0, 0.40791907135914074)	(8.0, 0.346265985350777)	(9.0, 0.3094770209113706)	('>10', 4.031546012758951)	('>50', 1.542630313314507)	('>100', 4.246738874149905)	('>500', 2.4225535379090006)	('>1k', 9.269646897355948)	('>5k', 6.47838698665064)	('>10k+', 55.21273408453946)
SRR11856166_2	(1.0, 11.144955205400743)	(2.0, 2.6636452587374593)	(3.0, 1.2476902461831383)	(4.0, 0.817255296309972)	(5.0, 0.556984994380708)	(6.0, 0.45296922426201447)	(7.0, 0.3850366177411247)	(8.0, 0.31659846021803756)	(9.0, 0.29499165490952767)	('>10', 3.5005589677118367)	('>50', 1.26380506348101)	('>100', 3.133012575036774)	('>500', 1.5138519825824914)	('>1k', 8.645698117277686)	('>5k', 6.086499197256965)	('>10k+', 57.97644713851051)
