Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
SRR11856162_1 - polya	(1, 0.0005310677236260735)	(2, 0.0019223155629845199)	(3, 0.0030031505779699796)	(4, 0.006099798994606521)	(5, 0.007838858793804578)	(6, 0.009607837901375937)	(7, 0.012027561966066568)	(8, 0.015763735599182396)	(9, 0.021953292518908814)	(10, 0.03044850614015266)	(12, 0.03643984764190597)	(14, 0.04164393734208682)	(16, 0.04538572084552264)	(18, 0.0478484539159999)	(20, 0.05036541573290375)	(22, 0.05360792077786013)	(24, 0.05680367690348323)	(26, 0.06057724967206568)	(28, 0.06479213223915431)	(30, 0.06894530623272299)	(32, 0.07516852237436938)	(34, 0.07869152093532544)	(36, 0.08156377453916225)	(38, 0.08402650760963949)	(40, 0.08636208361953021)	(42, 0.08895010379382065)	(44, 0.09172137973189756)	(46, 0.09461607281701434)	(48, 0.09728263117578469)	(50, 0.09917128751684924)	(52, 0.10156296222993991)	(54, 0.10403317512751048)	(56, 0.10690355877457394)	(58, 0.11008809515955706)	(60, 0.11273969386414076)	(62, 0.1152790951623246)	(64, 0.1464007857408765)	(66, 0.1793456841734264)	(68, 0.18193931421803683)	(70, 0.18452920434910058)	(72, 0.18743137726131065)	(74, 0.19021200298325425)	(76, 0.19440070615551625)	(78, 0.19856322993295158)	(80, 0.20184313411337457)	(82, 0.20456953108889153)	(84, 0.2072061701392886)	(86, 0.21018127136565862)	(88, 0.21382768707365452)	(90, 0.2176685782860769)	(92, 0.22025098859004738)	(94, 0.22285022850497777)	(96, 0.22633021806014725)	(98, 0.2294287364335571)	(100, 0.2326862011327001)	(102, 0.23651587260448254)	(104, 0.23960504119402576)	(106, 0.24285128615252877)	(108, 0.247131617206684)	(110, 0.2516718722523323)	(112, 0.2549125073405153)	(114, 0.25714523572787285)
SRR11856162_2 - polya	(1, 0.01715124352499418)	(2, 0.023871868168346674)	(3, 0.026396309812343855)	(4, 0.03059249281169917)	(5, 0.0328027817177767)	(6, 0.03448948272732148)	(7, 0.03649033647478592)	(8, 0.04132604469062051)	(9, 0.04686485665322766)	(10, 0.057151488863322844)	(12, 0.0631521801489428)	(14, 0.06863115349480335)	(16, 0.07655416034340784)	(18, 0.08363194673046659)	(20, 0.0921178105678438)	(22, 0.09970796511079531)	(24, 0.10622663442262803)	(26, 0.11159715027563537)	(28, 0.11731734804525565)	(30, 0.12243915964740992)	(32, 0.12743194423220436)	(34, 0.13307360381734473)	(36, 0.13884990029016492)	(38, 0.1435341420073597)	(40, 0.14912905267316678)	(42, 0.1550661654284935)	(44, 0.1602440757338477)	(46, 0.1655341834456018)	(48, 0.17092526882311576)	(50, 0.17724759267374873)	(52, 0.18274900550088924)	(54, 0.18953133871776168)	(56, 0.19532446480154186)	(58, 0.20059213303201598)	(60, 0.2059196398792367)	(62, 0.21065624038608474)	(64, 0.2157630923340524)	(66, 0.22211346553628528)	(68, 0.2577230523708322)	(70, 0.29778313632590747)	(72, 0.3041035902197671)	(74, 0.309251581216748)	(76, 0.3147324245193819)	(78, 0.3209182415255616)	(80, 0.3261242011825158)	(82, 0.3305952678275508)	(84, 0.3362649767642911)	(86, 0.3436363463647629)	(88, 0.35037380061907536)	(90, 0.35711873470048117)	(92, 0.36299600883906125)	(94, 0.37029071021182647)	(96, 0.3771272721751255)	(98, 0.3821574558953865)	(100, 0.3873559357252474)	(102, 0.39270214214020144)	(104, 0.3975116709612094)	(106, 0.40272324048848357)	(108, 0.40873515151474354)	(110, 0.4145899861720437)	(112, 0.4204878298351304)	(114, 0.42441660901589934)
SRR11856164_1 - polya	(1, 0.0004643785508804464)	(2, 0.001712943522587307)	(3, 0.002755604797205668)	(4, 0.005169497075838932)	(5, 0.006733488987766473)	(6, 0.008170433937660685)	(7, 0.009756330498214661)	(8, 0.012783552938388138)	(9, 0.01774714631713857)	(10, 0.023694258419215984)	(12, 0.027880236771727934)	(14, 0.031579931924733)	(16, 0.034236965803119704)	(18, 0.03619305092546045)	(20, 0.03832875416653798)	(22, 0.04086750294234193)	(24, 0.043384347069519436)	(26, 0.04643347415831935)	(28, 0.049482601247119264)	(30, 0.05267191808712837)	(32, 0.058621220654068426)	(34, 0.061219111981163754)	(36, 0.06340519591408209)	(38, 0.06550366125249467)	(40, 0.06735898499115381)	(42, 0.06925373709734053)	(44, 0.07120982221968128)	(46, 0.07339152522287432)	(48, 0.07574627495021621)	(50, 0.07738036173774834)	(52, 0.079281685238523)	(54, 0.08114796130149537)	(56, 0.08339756871543036)	(58, 0.08570412821579408)	(60, 0.08771059402997564)	(62, 0.08983534494673995)	(64, 0.10109871527045342)	(66, 0.11325579525812547)	(68, 0.11498626249961394)	(70, 0.11685472902744892)	(72, 0.11899481319825175)	(74, 0.12089832716388904)	(76, 0.12403945377692)	(78, 0.12700972413066475)	(80, 0.1294739971011388)	(82, 0.1316184622016669)	(84, 0.13351102384299096)	(86, 0.1354758708247823)	(88, 0.13811976191399317)	(90, 0.14079650997614365)	(92, 0.1429782129793367)	(94, 0.1451226780798648)	(96, 0.14734819038031072)	(98, 0.14952551245377843)	(100, 0.15212559424573643)	(102, 0.15479138998357372)	(104, 0.1569358550841018)	(106, 0.15913727227105862)	(108, 0.16205278100323728)	(110, 0.1650077181029435)	(112, 0.16743913410047795)	(114, 0.16911264925553765)
SRR11856164_2 - polya	(1, 0.012349840895584703)	(2, 0.017370386360763868)	(3, 0.01920161498593393)	(4, 0.022215694636931543)	(5, 0.023639496797649893)	(6, 0.024914347347708476)	(7, 0.026250530913921082)	(8, 0.029742131904975006)	(9, 0.03382077747921742)	(10, 0.04088721712610572)	(12, 0.04479719690592457)	(14, 0.04855822507508366)	(16, 0.05376715051845017)	(18, 0.058649696697282795)	(20, 0.06469976064790445)	(22, 0.06997440003715028)	(24, 0.07430056814087142)	(26, 0.07816892908830005)	(28, 0.08228043163548211)	(30, 0.0860567930586797)	(32, 0.08950239428761811)	(34, 0.09300494760298525)	(36, 0.09686454669096331)	(38, 0.10028167187668735)	(40, 0.10435593652120446)	(42, 0.10829439234423768)	(44, 0.11190208797301171)	(46, 0.11573102055291276)	(48, 0.11964976219218218)	(50, 0.12391459727974931)	(52, 0.12783552938388137)	(54, 0.13234788700092723)	(56, 0.13656453186151618)	(58, 0.1405489874466649)	(60, 0.14435163444821425)	(62, 0.1473635236343492)	(64, 0.15060322116619912)	(66, 0.15478043765926047)	(68, 0.16857598536419)	(70, 0.18459047397497746)	(72, 0.18871511931133536)	(74, 0.1926886225721709)	(76, 0.196670887692457)	(78, 0.20074296187211146)	(80, 0.20406589706874184)	(82, 0.20691788231990382)	(84, 0.21099652789414625)	(86, 0.2158922168621547)	(88, 0.22081419140851488)	(90, 0.2254032152957533)	(92, 0.2293767185565888)	(94, 0.23395698058437658)	(96, 0.23830505333672417)	(98, 0.2418820824574212)	(100, 0.24529044578369466)	(102, 0.2489989027961503)	(104, 0.2523152665981927)	(106, 0.2558835338594392)	(108, 0.26010017872002816)	(110, 0.2640342536133361)	(112, 0.26794423339315493)	(114, 0.27043041101225546)
SRR11856165_1 - polya	(1, 0.0004121714220944491)	(2, 0.0012365142662833473)	(3, 0.0018656180157959274)	(4, 0.0032268683703447)	(5, 0.004165100686428117)	(6, 0.005184682625293333)	(7, 0.006415773583391227)	(8, 0.00834104798922714)	(9, 0.01136725395671007)	(10, 0.015437446749892754)	(12, 0.01812740760987758)	(14, 0.020380792160933414)	(16, 0.02202405454112576)	(18, 0.023461231210270876)	(20, 0.02476824848296512)	(22, 0.026297621391262942)	(24, 0.027908343922342566)	(26, 0.02988785141003301)	(28, 0.032103272803790675)	(30, 0.03427259607797199)	(32, 0.0377760531657748)	(34, 0.03964709448975619)	(36, 0.04140153468775032)	(38, 0.04301768052701539)	(40, 0.04439520080612053)	(42, 0.04571035304109295)	(44, 0.04727497745259622)	(46, 0.048779945474059505)	(48, 0.050382533042860944)	(50, 0.05157837249775339)	(52, 0.05296945104732216)	(54, 0.05421952358406914)	(56, 0.0556404303286579)	(58, 0.05709930023054483)	(60, 0.0583385261509209)	(62, 0.05976756785778784)	(64, 0.09550445714583221)	(66, 0.13520849637153565)	(68, 0.13650195537376625)	(70, 0.1378876106151496)	(72, 0.139549854573991)	(74, 0.1409327981612816)	(76, 0.14300721354221746)	(78, 0.14495689283488794)	(80, 0.146573038674153)	(82, 0.1481376630856563)	(84, 0.14958297471707957)	(86, 0.15114759912858283)	(88, 0.15324641939635325)	(90, 0.15491408666338014)	(92, 0.15610721446417986)	(94, 0.15738711519594684)	(96, 0.15910359223664278)	(98, 0.16086074408872966)	(100, 0.16280500007321466)	(102, 0.1651099060520323)	(104, 0.16677757331905918)	(106, 0.1684886270515697)	(108, 0.17094538565958003)	(110, 0.17318792359426494)	(112, 0.1751348912328427)	(114, 0.17662087767565687)
SRR11856165_2 - polya	(1, 0.008585096857572538)	(2, 0.011524529894088215)	(3, 0.013211178739764184)	(4, 0.014881557660883794)	(5, 0.016080108769868966)	(6, 0.017213580180628702)	(7, 0.018412131289613876)	(8, 0.020603147796537002)	(9, 0.02334734173837636)	(10, 0.02698366987672278)	(12, 0.02964922584987307)	(14, 0.03242324798673242)	(16, 0.03643649604396784)	(18, 0.04025721666061968)	(20, 0.04491312673783132)	(22, 0.04896704960645764)	(24, 0.052497623235187724)	(26, 0.055941423932950554)	(28, 0.05889983854811532)	(30, 0.06156810617535833)	(32, 0.06410079109796502)	(34, 0.06697514443625524)	(36, 0.06995796393825456)	(38, 0.07240658758398671)	(40, 0.07524026611088605)	(42, 0.07799801832318903)	(44, 0.08087237166147927)	(46, 0.08371960845884224)	(48, 0.08633906631241617)	(50, 0.08978557866427173)	(52, 0.09310735492786187)	(54, 0.09658098382064469)	(56, 0.09975904241732031)	(58, 0.10248696643460331)	(60, 0.105396571276099)	(62, 0.10786688815457296)	(64, 0.11066531517826685)	(66, 0.11405488279417514)	(68, 0.15230818708026983)	(70, 0.1953502724941198)	(72, 0.19909235514208257)	(74, 0.20236803328609632)	(76, 0.20594199338031005)	(78, 0.20890854295775296)	(80, 0.21167443013233414)	(82, 0.21416915189764266)	(84, 0.21720891613558924)	(86, 0.22074762472659748)	(88, 0.2241290573802276)	(90, 0.22730982763099594)	(92, 0.23059092908319517)	(94, 0.23449028766853608)	(96, 0.23810492257414068)	(98, 0.24091419621420548)	(100, 0.24378041459021754)	(102, 0.24674154085947503)	(104, 0.2494070968326253)	(106, 0.25197503325843745)	(108, 0.2552615580188221)	(110, 0.2583609786468087)	(112, 0.2610400928904226)	(114, 0.262851477824364)
SRR11856166_1 - polya	(1, 0.0006008275292427765)	(2, 0.0017286967508037781)	(3, 0.0022873609446610967)	(4, 0.003852674770846225)	(5, 0.004527288137013553)	(6, 0.005333661926260437)	(7, 0.00622963280320142)	(8, 0.007473451197072431)	(9, 0.009518372963267144)	(10, 0.011784652240235512)	(12, 0.01365301503950362)	(14, 0.015265762617997388)	(16, 0.01642261913263589)	(18, 0.017426633556502112)	(20, 0.01857031402883266)	(22, 0.020072382851939602)	(24, 0.0214980306296604)	(26, 0.02313449508430849)	(28, 0.024799946832034077)	(30, 0.026979264229769942)	(32, 0.030489361900609316)	(34, 0.03179115488063533)	(36, 0.03287949597527247)	(38, 0.03372803309990481)	(40, 0.034679343354539205)	(42, 0.03560693673301928)	(44, 0.036574058238423225)	(46, 0.03758597828767422)	(48, 0.03862161521307953)	(50, 0.03948596358848142)	(52, 0.04049261322080923)	(54, 0.041501898061598624)	(56, 0.04244266748238666)	(58, 0.04353364378548539)	(60, 0.04452448216704365)	(62, 0.04600283411399627)	(64, 0.48952949986747535)	(66, 0.9512259279636253)	(68, 0.9530653034698159)	(70, 0.9542168895675311)	(72, 0.9553052306621683)	(74, 0.9565095209291155)	(76, 0.9584226822722306)	(78, 0.9599537383884151)	(80, 0.9609129542684343)	(82, 0.962003930571533)	(84, 0.9629710520769369)	(86, 0.9641727071354225)	(88, 0.9652531426046749)	(90, 0.966283509113157)	(92, 0.9672400897847145)	(94, 0.9683099844201205)	(96, 0.9693930550978345)	(98, 0.9703733526455464)	(100, 0.971517033117877)	(102, 0.9725632108771286)	(104, 0.9737253378086903)	(106, 0.9752537587164132)	(108, 0.9770799581802958)	(110, 0.9791644080734143)	(112, 0.982595449490406)	(114, 0.9866273184366404)
SRR11856166_2 - polya	(1, 0.007036006592448304)	(2, 0.010345828420206758)	(3, 0.01161599889869368)	(4, 0.013070633969491981)	(5, 0.013950793595663417)	(6, 0.014609595711061197)	(7, 0.015305290744921256)	(8, 0.01688641582187593)	(9, 0.01861511257267971)	(10, 0.020894567891956033)	(12, 0.02269705047968436)	(14, 0.024533790777413376)	(16, 0.02676844755284265)	(18, 0.02868687931288099)	(20, 0.03084511504292412)	(22, 0.03310612390296931)	(24, 0.0351853033791647)	(26, 0.03668473699381006)	(28, 0.03837390561768997)	(30, 0.04009469674310897)	(32, 0.04158095431544637)	(34, 0.04331492148317333)	(36, 0.04546261637937009)	(38, 0.04695941478555385)	(40, 0.04851682298635421)	(42, 0.050037338268692284)	(44, 0.05164745063872446)	(46, 0.053344524887989145)	(48, 0.05506531601340815)	(50, 0.05656211441959191)	(52, 0.058383043466551376)	(54, 0.060293569601204945)	(56, 0.06194321009816099)	(58, 0.06353487600896203)	(60, 0.06503958004053056)	(62, 0.06665232761902433)	(64, 0.06834413145136584)	(66, 0.07062885718756534)	(68, 0.5548299655457034)	(70, 1.2238092560221496)	(72, 1.2309216836599841)	(74, 1.233211679813107)	(76, 1.235325116999303)	(78, 1.2367955633208707)	(80, 1.2384346629839804)	(82, 1.2401923470278615)	(84, 1.2417708368963547)	(86, 1.2434441942694652)	(88, 1.2453520851956572)	(90, 1.2471861902849244)	(92, 1.24880157307188)	(94, 1.2504090502334506)	(96, 1.252488229709646)	(98, 1.2541853039589106)	(100, 1.255684737573556)	(102, 1.2570734924328144)	(104, 1.2585729260474599)	(106, 1.2604123015536504)	(108, 1.2622411362259947)	(110, 1.2639382104752594)	(112, 1.2660252955768394)	(114, 1.2672559379284025)
