Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR11856162_1	(0.0, 0.00013089688846315401)	(1.0, 0.00040952026533472475)	(2.0, 0.0008826190193515529)	(3.0, 0.0016044218614483738)	(4.0, 0.0028703817684420205)	(5.0, 0.004558951629616707)	(6.0, 0.006264351090736657)	(7.0, 0.007952920951911345)	(8.0, 0.009104813570387098)	(9.0, 0.009720028946163924)	(10.0, 0.009815396679187079)	(11.0, 0.009310508680829199)	(12.0, 0.008584965927633432)	(13.0, 0.007648118197347142)	(14.0, 0.006943144955195585)	(15.0, 0.006888916244260849)	(16.0, 0.00761071908635767)	(17.0, 0.009837836145780763)	(18.0, 0.014163043331713268)	(19.0, 0.02156432739652989)	(20.0, 0.03288129838194429)	(21.0, 0.05313104702719422)	(22.0, 0.08861719348955528)	(23.0, 0.12933547557934355)	(24.0, 0.18471607913255456)	(25.0, 0.251303326293761)	(26.0, 0.32380524285795254)	(27.0, 0.42264361338093065)	(28.0, 0.5388370413585736)	(29.0, 0.6722060110581318)	(30.0, 0.7977005979388564)	(31.0, 0.9235673059739263)	(32.0, 1.065556770756558)	(33.0, 1.216151770977867)	(34.0, 1.3701538302103176)	(35.0, 1.5993000531983654)	(36.0, 1.7726206232124275)	(37.0, 1.9177871424736148)	(38.0, 2.0449310301489754)	(39.0, 2.114003448235432)	(40.0, 2.169875850098155)	(41.0, 2.196285232323371)	(42.0, 2.4233015759405685)	(43.0, 2.509794499925922)	(44.0, 2.4955286090389874)	(45.0, 2.446010316133376)	(46.0, 2.2330915674036604)	(47.0, 2.1436908625388758)	(48.0, 2.1050332714646074)	(49.0, 2.0319890677910686)	(50.0, 1.9997136350071536)	(51.0, 2.3255982684361207)	(52.0, 2.7688955408609877)	(53.0, 2.602725680868113)	(54.0, 2.5405533987592133)	(55.0, 2.979474975198312)	(56.0, 2.822516516242144)	(57.0, 2.284863156746387)	(58.0, 2.2096890737019983)	(59.0, 1.969381086039142)	(60.0, 1.877515779760151)	(61.0, 3.3618266563547343)	(62.0, 5.255674627883988)	(63.0, 5.961880170742649)	(64.0, 4.229998399131054)	(65.0, 2.384875859354435)	(66.0, 2.4441310108061556)	(67.0, 2.4896064598138046)	(68.0, 2.4435793739190603)	(69.0, 1.861344404168303)	(70.0, 0.8651798138971618)	(71.0, 0.43064328322157885)	(72.0, 0.5246683881602119)	(73.0, 0.3850406772365655)	(74.0, 0.08669861909579533)	(75.0, 0.07862789094426716)	(76.0, 0.07767982348068402)	(77.0, 0.0664918794281833)	(78.0, 0.04900592508505539)	(79.0, 0.02989310941388543)	(80.0, 0.020251618600799402)	(81.0, 0.019077286515729965)	(82.0, 0.018929560027321546)	(83.0, 0.029391961326626498)	(84.0, 0.029180656349535983)	(85.0, 0.013884419954841696)	(86.0, 0.02093602233190675)	(87.0, 0.018467681006601563)	(88.0, 0.0021336192819494107)	(89.0, 0.00013276684401262767)	(90.0, 4.861884428631435e-05)	(91.0, 2.4309422143157176e-05)	(92.0, 1.4959644395789032e-05)	(93.0, 7.479822197894516e-06)	(94.0, 7.479822197894516e-06)	(95.0, 9.349777747368146e-06)	(96.0, 7.479822197894516e-06)	(97.0, 3.739911098947258e-06)	(98.0, 1.869955549473629e-06)	(99.0, 0.0)	(100.0, 0.0)
SRR11856162_2	(0.0, 0.002965711235802709)	(1.0, 0.002776848162148186)	(2.0, 0.0035603494281011092)	(3.0, 0.005993130208542045)	(4.0, 0.008642823033972334)	(5.0, 0.009998523315155793)	(6.0, 0.010026572286490622)	(7.0, 0.009297299031785038)	(8.0, 0.008083713538698052)	(9.0, 0.00653728025243775)	(10.0, 0.004960928063420295)	(11.0, 0.003967994478167307)	(12.0, 0.0034892920340528727)	(13.0, 0.003214412114971537)	(14.0, 0.003444413679917144)	(15.0, 0.0045514130819317745)	(16.0, 0.006982323930950389)	(17.0, 0.010931619094894476)	(18.0, 0.017652152626719785)	(19.0, 0.029129791696932285)	(20.0, 0.04687544089476817)	(21.0, 0.07206341715344566)	(22.0, 0.1097200961361663)	(23.0, 0.16385274088096619)	(24.0, 0.22809236496341656)	(25.0, 0.306466800667199)	(26.0, 0.4064744729958248)	(27.0, 0.5183150713649043)	(28.0, 0.6346584645989352)	(29.0, 0.7639455231382789)	(30.0, 0.8912280151928936)	(31.0, 1.01181989261844)	(32.0, 1.1324155099068312)	(33.0, 1.2621083435648188)	(34.0, 1.4014500233619882)	(35.0, 1.5464688149573271)	(36.0, 1.683130883026309)	(37.0, 1.8037265003147)	(38.0, 1.9110586940245613)	(39.0, 1.988529952851362)	(40.0, 2.0432553658570383)	(41.0, 2.1025826800930485)	(42.0, 2.1308149047072664)	(43.0, 2.084951096711974)	(44.0, 2.0581661990186335)	(45.0, 2.0550808121718025)	(46.0, 2.0029059856261737)	(47.0, 1.9476102435366893)	(48.0, 1.893874024253422)	(49.0, 1.829037892047251)	(50.0, 1.7901059198345066)	(51.0, 1.7993321614722433)	(52.0, 1.7957736819755648)	(53.0, 2.502527352562125)	(54.0, 2.8270988292602457)	(55.0, 2.414638705781568)	(56.0, 2.2616371769443364)	(57.0, 2.154682709381784)	(58.0, 2.5035707742957807)	(59.0, 2.4973046340995797)	(60.0, 2.350384122247739)	(61.0, 3.2259084533559723)	(62.0, 4.100527737655802)	(63.0, 4.819082545448636)	(64.0, 5.730833058001514)	(65.0, 5.819450978036777)	(66.0, 4.248009228934339)	(67.0, 2.690236678529075)	(68.0, 1.9279105160025272)	(69.0, 1.204600472602728)	(70.0, 0.8819606350638658)	(71.0, 0.5803818351346165)	(72.0, 0.3265835229085392)	(73.0, 0.2636995991072723)	(74.0, 0.2075530382206316)	(75.0, 0.14836035904702832)	(76.0, 0.14813970713919436)	(77.0, 0.13935476931712554)	(78.0, 0.11606664338352722)	(79.0, 0.08725100016554503)	(80.0, 0.06859656429646065)	(81.0, 0.059931302085420454)	(82.0, 0.03881416653313798)	(83.0, 0.025066430716226558)	(84.0, 0.014125461964220471)	(85.0, 0.016085150094813937)	(86.0, 0.01572425333030579)	(87.0, 0.006641996412087782)	(88.0, 0.0019821273076613315)	(89.0, 0.0006432564092787717)	(90.0, 0.00048618216980372283)	(91.0, 0.00031414847895009783)	(92.0, 0.0002374812906348954)	(93.0, 0.00020008266218845516)	(94.0, 0.00017951341654291305)	(95.0, 0.0001926029364991671)	(96.0, 0.0001926029364991671)	(97.0, 0.00016268403374201495)	(98.0, 0.00016642389658665896)	(99.0, 0.0001869931422322011)	(100.0, 0.00021691204498935327)
SRR11856164_1	(0.0, 0.00021904624635780856)	(1.0, 0.0005016159041593815)	(2.0, 0.0009857081086101383)	(3.0, 0.0016910370218822818)	(4.0, 0.0027293162296182943)	(5.0, 0.0036909292511290736)	(6.0, 0.0043480679902025)	(7.0, 0.004551780999315262)	(8.0, 0.004078641107182395)	(9.0, 0.003412740518254657)	(10.0, 0.003084171148717944)	(11.0, 0.0030206477372741796)	(12.0, 0.00303160004959207)	(13.0, 0.0030907425361086788)	(14.0, 0.003303217395075753)	(15.0, 0.0038267379238709153)	(16.0, 0.005103777540136939)	(17.0, 0.007430048676456865)	(18.0, 0.011193263188884016)	(19.0, 0.016879703744332727)	(20.0, 0.025792695508631957)	(21.0, 0.04279725561338863)	(22.0, 0.07036860664244599)	(23.0, 0.10074594008734689)	(24.0, 0.14150825607207146)	(25.0, 0.19274755402009003)	(26.0, 0.2526063217622884)	(27.0, 0.3313118285411126)	(28.0, 0.417933666663308)	(29.0, 0.5139810647662798)	(30.0, 0.6211516312593013)	(31.0, 0.73286302643932)	(32.0, 0.8423817686932971)	(33.0, 0.964938143530491)	(34.0, 1.1086543857658493)	(35.0, 1.2943289364910455)	(36.0, 1.4492910130144137)	(37.0, 1.6442925529095254)	(38.0, 1.761727626506874)	(39.0, 1.7822829262650906)	(40.0, 1.8290952995742178)	(41.0, 1.8782536581818374)	(42.0, 2.223566922790141)	(43.0, 2.3435779802446572)	(44.0, 2.2606580236859086)	(45.0, 2.1651034796372417)	(46.0, 1.8985723879939878)	(47.0, 1.794065423856677)	(48.0, 1.742694698160844)	(49.0, 1.691775207732508)	(50.0, 1.6991680185470839)	(51.0, 2.090540137377044)	(52.0, 2.7741944245720824)	(53.0, 2.7222300835486193)	(54.0, 2.766512472712314)	(55.0, 3.4698896839294093)	(56.0, 3.1608964774296937)	(57.0, 2.377216912297826)	(58.0, 2.3640193759547676)	(59.0, 2.0921304131256013)	(60.0, 2.0314808884340514)	(61.0, 3.972230631164235)	(62.0, 5.9143647461714)	(63.0, 6.539229211306466)	(64.0, 4.889101266393968)	(65.0, 2.857195428241983)	(66.0, 2.8497237607787183)	(67.0, 2.9157289661937167)	(68.0, 2.978566762886381)	(69.0, 2.2996789220120886)	(70.0, 1.0033281886671606)	(71.0, 0.4667612654389271)	(72.0, 0.6385285699828662)	(73.0, 0.4668883122618146)	(74.0, 0.06710481757171465)	(75.0, 0.06651996409393929)	(76.0, 0.06990860952509459)	(77.0, 0.05978648248090026)	(78.0, 0.04326820504305792)	(79.0, 0.024368894907306198)	(80.0, 0.014172292139350213)	(81.0, 0.013184393568276498)	(82.0, 0.013598390973892753)	(83.0, 0.021166438785555037)	(84.0, 0.021416151506402942)	(85.0, 0.011011454804407036)	(86.0, 0.014842573653205108)	(87.0, 0.012866776511057674)	(88.0, 0.0016976084092730163)	(89.0, 0.0001336182102782632)	(90.0, 6.133294898018639e-05)	(91.0, 1.3142774781468512e-05)	(92.0, 1.5333237245046596e-05)	(93.0, 1.0952312317890426e-05)	(94.0, 4.380924927156171e-06)	(95.0, 2.1904624635780855e-06)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11856164_2	(0.0, 0.002378820454649102)	(1.0, 0.001870637816086863)	(2.0, 0.0016975928658867904)	(3.0, 0.0024467241692845737)	(4.0, 0.0032988062658393627)	(5.0, 0.0037719418258800683)	(6.0, 0.0036865145719838298)	(7.0, 0.0035507071427128864)	(8.0, 0.003141094412492461)	(9.0, 0.0025431036352187917)	(10.0, 0.002120348250552791)	(11.0, 0.001750163483669091)	(12.0, 0.0016669266721804482)	(13.0, 0.0018421620647881172)	(14.0, 0.002269298334269309)	(15.0, 0.0031651892789760156)	(16.0, 0.005088397712845179)	(17.0, 0.00804987584791478)	(18.0, 0.012733041715354726)	(19.0, 0.021264814892940593)	(20.0, 0.03447756349555881)	(21.0, 0.05308975263290082)	(22.0, 0.08152826641071785)	(23.0, 0.1242397029164295)	(24.0, 0.17206582244387747)	(25.0, 0.2326249836866802)	(26.0, 0.3075118287175674)	(27.0, 0.3874345008435175)	(28.0, 0.47259233032362163)	(29.0, 0.5691623647473003)	(30.0, 0.672864479650111)	(31.0, 0.7779750490210059)	(32.0, 0.8864873754508972)	(33.0, 1.0051984017305546)	(34.0, 1.1374616951860077)	(35.0, 1.272964652962295)	(36.0, 1.4036004477089046)	(37.0, 1.5180663966026413)	(38.0, 1.6233434395965134)	(39.0, 1.69885017982875)	(40.0, 1.7417631370359608)	(41.0, 1.8026902926032398)	(42.0, 1.8261586925582214)	(43.0, 1.7700724147117295)	(44.0, 1.7316651975369441)	(45.0, 1.711127609523325)	(46.0, 1.6517425254109936)	(47.0, 1.5992398113433286)	(48.0, 1.5601623187918185)	(49.0, 1.493688963048507)	(50.0, 1.4615529824866682)	(51.0, 1.5097405250113696)	(52.0, 1.4926200271536003)	(53.0, 1.569644743974301)	(54.0, 2.906425746039494)	(55.0, 3.653918598516396)	(56.0, 2.6065673230940662)	(57.0, 2.14437521332171)	(58.0, 2.7204615665194205)	(59.0, 2.6855524858695654)	(60.0, 2.4162879720310295)	(61.0, 3.7011927265571294)	(62.0, 4.875166906235353)	(63.0, 5.72503665595847)	(64.0, 6.844538913844598)	(65.0, 7.018135855531386)	(66.0, 5.244168834218951)	(67.0, 3.307075185928037)	(68.0, 2.294952795747072)	(69.0, 1.3425944362149522)	(70.0, 0.9275472183812814)	(71.0, 0.583884328168752)	(72.0, 0.29708751329981864)	(73.0, 0.24925482244514793)	(74.0, 0.19733695650031088)	(75.0, 0.13109140676738934)	(76.0, 0.1472962996987835)	(77.0, 0.14202609526610788)	(78.0, 0.11436080765817218)	(79.0, 0.08174292976666224)	(80.0, 0.058883472800991876)	(81.0, 0.05048093572545415)	(82.0, 0.029154788445100877)	(83.0, 0.018752377451428145)	(84.0, 0.010122034365500462)	(85.0, 0.010956592922794484)	(86.0, 0.01136620565301491)	(87.0, 0.005419154516392154)	(88.0, 0.0016296891512513187)	(89.0, 0.0006308474133876073)	(90.0, 0.0005344679474533895)	(91.0, 0.0003570421124381249)	(92.0, 0.00028694795539505746)	(93.0, 0.00022342512557477757)	(94.0, 0.0002146633559443941)	(95.0, 0.00021028247112920244)	(96.0, 0.0001752353926076687)	(97.0, 0.00015552141093930596)	(98.0, 0.0001533309685317101)	(99.0, 0.0001905684894608397)	(100.0, 0.000278186185764674)
SRR11856165_1	(0.0, 0.00023320198005835635)	(1.0, 0.0004664039601167127)	(2.0, 0.0011334700891208484)	(3.0, 0.0024215042813036307)	(4.0, 0.004509475498105193)	(5.0, 0.007028599212921625)	(6.0, 0.009328079202334255)	(7.0, 0.01091710664784817)	(8.0, 0.011706197068743308)	(9.0, 0.011115057165804684)	(10.0, 0.009675170521490879)	(11.0, 0.008110547934355162)	(12.0, 0.006613716620492223)	(13.0, 0.005466688276716819)	(14.0, 0.0044010094608687485)	(15.0, 0.003907488991442924)	(16.0, 0.004154249226155836)	(17.0, 0.0052389095985202845)	(18.0, 0.007617027464929337)	(19.0, 0.010976762968328216)	(20.0, 0.01682850567723441)	(21.0, 0.02696736850791109)	(22.0, 0.04398026644844746)	(23.0, 0.0631814666902291)	(24.0, 0.08697620360897419)	(25.0, 0.11938585553522389)	(26.0, 0.1596186203971522)	(27.0, 0.21142471143220914)	(28.0, 0.27045735219814426)	(29.0, 0.3393658256544576)	(30.0, 0.4137382757365569)	(31.0, 0.48990041543305757)	(32.0, 0.572567805712814)	(33.0, 0.6646446247228319)	(34.0, 0.7633270254005495)	(35.0, 0.8890228926520036)	(36.0, 1.005092399098723)	(37.0, 1.1727727577134741)	(38.0, 1.272509990603316)	(39.0, 1.2918196568823341)	(40.0, 1.3589275941205226)	(41.0, 1.4052181871621061)	(42.0, 1.7665104222439114)	(43.0, 1.8894973502153851)	(44.0, 1.826524680646836)	(45.0, 1.756420369129991)	(46.0, 1.4851468100016425)	(47.0, 1.4344036861315028)	(48.0, 1.4910744789366142)	(49.0, 1.4652460038196857)	(50.0, 1.3787687439819993)	(51.0, 1.7342146596567596)	(52.0, 2.1235779051753565)	(53.0, 2.105811168276027)	(54.0, 2.343387041285943)	(55.0, 3.1351728432064045)	(56.0, 3.1282798265400285)	(57.0, 2.3797882433824937)	(58.0, 2.403124711293915)	(59.0, 2.3811413571970186)	(60.0, 3.0001190685923764)	(61.0, 5.846400756572303)	(62.0, 9.245837541250651)	(63.0, 10.670544363653216)	(64.0, 7.025331673549876)	(65.0, 2.978349934919022)	(66.0, 2.6090881577512692)	(67.0, 2.5040876104045284)	(68.0, 2.518567826375594)	(69.0, 1.859360061769239)	(70.0, 0.7389980932484149)	(71.0, 0.4254553194090239)	(72.0, 0.4298861570301326)	(73.0, 0.2738875906257468)	(74.0, 0.08554716356838403)	(75.0, 0.08891503402457564)	(76.0, 0.09000782934973282)	(77.0, 0.0858345985670606)	(78.0, 0.07560353960473294)	(79.0, 0.04961778873381168)	(80.0, 0.0318456285326202)	(81.0, 0.034085452201552784)	(82.0, 0.03553889710052115)	(83.0, 0.06773704025415979)	(84.0, 0.07531610460605637)	(85.0, 0.03931893849821124)	(86.0, 0.06207782476134828)	(87.0, 0.05490550804908837)	(88.0, 0.006342551527401111)	(89.0, 0.00030912820612386774)	(90.0, 0.00011117768816735593)	(91.0, 4.880971675640017e-05)	(92.0, 2.169320744728896e-05)	(93.0, 2.4404858378200085e-05)	(94.0, 2.4404858378200085e-05)	(95.0, 1.084660372364448e-05)	(96.0, 2.71165093091112e-06)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11856165_2	(0.0, 0.0023970773877995595)	(1.0, 0.002500119175962889)	(2.0, 0.0038640670561248553)	(3.0, 0.00682516265281843)	(4.0, 0.010014034833873047)	(5.0, 0.011977252060984904)	(6.0, 0.011960982304959114)	(7.0, 0.011236978161811509)	(8.0, 0.009938109305752698)	(9.0, 0.007923371184559177)	(10.0, 0.006082177127640737)	(11.0, 0.004715517621474472)	(12.0, 0.003788141528004507)	(13.0, 0.0032458163271448784)	(14.0, 0.00316989079902453)	(15.0, 0.0034356301474457486)	(16.0, 0.004493164289122025)	(17.0, 0.006467228020251074)	(18.0, 0.009718467599404548)	(19.0, 0.014838017495519443)	(20.0, 0.022666481769928186)	(21.0, 0.03409598537804486)	(22.0, 0.05066130863830223)	(23.0, 0.07610449543663171)	(24.0, 0.10752139432243)	(25.0, 0.14984174137151113)	(26.0, 0.19980345050070444)	(27.0, 0.25152771653269157)	(28.0, 0.31328228715457745)	(29.0, 0.38447602789742524)	(30.0, 0.4554013176658475)	(31.0, 0.5277827505985779)	(32.0, 0.6069215555340193)	(33.0, 0.6923594676774452)	(34.0, 0.7832694410975447)	(35.0, 0.886872535843764)	(36.0, 0.9913514857893715)	(37.0, 1.0846124389551974)	(38.0, 1.1611724875605511)	(39.0, 1.2212783895718238)	(40.0, 1.2730894276359486)	(41.0, 1.342924643750643)	(42.0, 1.380350505861966)	(43.0, 1.3467751526767464)	(44.0, 1.3343911567151168)	(45.0, 1.334938905167985)	(46.0, 1.318178344835418)	(47.0, 1.3094496207275823)	(48.0, 1.2720454516242938)	(49.0, 1.2231277185067553)	(50.0, 1.2251533031319661)	(51.0, 1.2917589726755412)	(52.0, 1.2770700946102582)	(53.0, 1.3516072702164057)	(54.0, 2.3933760183036923)	(55.0, 3.0852392584223507)	(56.0, 2.515475114025229)	(57.0, 2.2290840219552766)	(58.0, 2.826512174848248)	(59.0, 3.092780290340304)	(60.0, 3.2916346717395046)	(61.0, 5.070385405030967)	(62.0, 6.1737487378058855)	(63.0, 6.603072348188397)	(64.0, 9.013566861457225)	(65.0, 9.897472878452286)	(66.0, 6.019668724989657)	(67.0, 2.6656341156392434)	(68.0, 1.8112197430669281)	(69.0, 1.2053421635445638)	(70.0, 0.9301663566283881)	(71.0, 0.5894098747982618)	(72.0, 0.3664437149688426)	(73.0, 0.29940960851658815)	(74.0, 0.2251625768929007)	(75.0, 0.16693583170260665)	(76.0, 0.18883492331331844)	(77.0, 0.17920593937205576)	(78.0, 0.1531065390806861)	(79.0, 0.12263870929639217)	(80.0, 0.11213658178174546)	(81.0, 0.10896397935671663)	(82.0, 0.07060531789991507)	(83.0, 0.04562853077432487)	(84.0, 0.02729251573326082)	(85.0, 0.03597243057301918)	(86.0, 0.03497184057743317)	(87.0, 0.014236036522565257)	(88.0, 0.00483754079166789)	(89.0, 0.0021096450313439563)	(90.0, 0.001654091862621868)	(91.0, 0.0013422548721275815)	(92.0, 0.0010873620277235558)	(93.0, 0.0008514505653496173)	(94.0, 0.0005884228429326973)	(95.0, 0.00042572528267480864)	(96.0, 0.00033895325053726803)	(97.0, 0.00023591146237393853)	(98.0, 0.00022777658436104413)	(99.0, 0.00024404634038683297)	(100.0, 0.0002684509744255163)
SRR11856166_1	(0.0, 0.0007378556470806926)	(1.0, 0.001807746335347697)	(2.0, 0.0033572431942171512)	(3.0, 0.0060556867035408265)	(4.0, 0.012788619483152146)	(5.0, 0.02365617908515492)	(6.0, 0.041580800911736604)	(7.0, 0.06608287879229474)	(8.0, 0.09490404740701451)	(9.0, 0.12366724164946366)	(10.0, 0.145057149818585)	(11.0, 0.1549734026756016)	(12.0, 0.1502590321305039)	(13.0, 0.132879896443014)	(14.0, 0.10756617735066712)	(15.0, 0.07964097630740247)	(16.0, 0.05487010815540779)	(17.0, 0.037480431672959606)	(18.0, 0.02815446333360757)	(19.0, 0.023753681438519154)	(20.0, 0.02450471307929772)	(21.0, 0.03220212859759308)	(22.0, 0.0463267938417092)	(23.0, 0.06391938062710457)	(24.0, 0.08679027048786647)	(25.0, 0.11444404606095498)	(26.0, 0.14533648088497986)	(27.0, 0.18220291125161872)	(28.0, 0.22706716979286443)	(29.0, 0.2825539144533325)	(30.0, 0.33565053385700705)	(31.0, 0.3841408258639064)	(32.0, 0.4443498466656909)	(33.0, 0.5128650138946124)	(34.0, 0.5831088714966943)	(35.0, 0.6558667086963298)	(36.0, 0.9981658489732818)	(37.0, 2.115131727524034)	(38.0, 1.9537073583339555)	(39.0, 1.072396762268339)	(40.0, 1.039873139424518)	(41.0, 0.9790817397012876)	(42.0, 1.9481629001858922)	(43.0, 2.098279631584459)	(44.0, 1.2227084983736343)	(45.0, 1.0310952924229972)	(46.0, 0.9384759623231933)	(47.0, 0.9492697363604881)	(48.0, 1.0269264080169913)	(49.0, 1.2204237810664238)	(50.0, 1.190643400110499)	(51.0, 1.2037904066222334)	(52.0, 1.8432477327672365)	(53.0, 2.4295346539438567)	(54.0, 3.562612137588364)	(55.0, 4.906924516998376)	(56.0, 4.288295801690965)	(57.0, 3.235947631433304)	(58.0, 4.503644242688944)	(59.0, 5.457059146666782)	(60.0, 6.347774767033938)	(61.0, 8.672236141634764)	(62.0, 7.5673631900999165)	(63.0, 5.739879216192811)	(64.0, 4.91450598377213)	(65.0, 2.785523651672895)	(66.0, 1.8110008057910705)	(67.0, 1.6938266938359172)	(68.0, 1.4128670746200267)	(69.0, 0.924699143312701)	(70.0, 0.4226990538213518)	(71.0, 0.2049235947842249)	(72.0, 0.19258295908680034)	(73.0, 0.14495437706774164)	(74.0, 0.05252214607844745)	(75.0, 0.05693873916597331)	(76.0, 0.0604330126946483)	(77.0, 0.05243781971878108)	(78.0, 0.04664301769045807)	(79.0, 0.0383605880519773)	(80.0, 0.02726376615963159)	(81.0, 0.029956939271476118)	(82.0, 0.040692738936500196)	(83.0, 0.04011299521379394)	(84.0, 0.03124291625638818)	(85.0, 0.0244862666881207)	(86.0, 0.019458307493013693)	(87.0, 0.01280970107306874)	(88.0, 0.003615492670695394)	(89.0, 0.0012490842025580295)	(90.0, 0.0005085933567377631)	(91.0, 0.00020291030294719047)	(92.0, 8.169116092679096e-05)	(93.0, 4.216317983318243e-05)	(94.0, 1.581119243744341e-05)	(95.0, 1.8446391177017315e-05)	(96.0, 2.3716788656165118e-05)	(97.0, 2.3716788656165118e-05)	(98.0, 1.581119243744341e-05)	(99.0, 5.270397479147804e-06)	(100.0, 0.0)
SRR11856166_2	(0.0, 0.01759641553795639)	(1.0, 0.035042637052902365)	(2.0, 0.07733938191892152)	(3.0, 0.12073754962035035)	(4.0, 0.14705048845863014)	(5.0, 0.14811502153400216)	(6.0, 0.12705623851822687)	(7.0, 0.09590283616643616)	(8.0, 0.06567431279844639)	(9.0, 0.042080676271512955)	(10.0, 0.025643653191882537)	(11.0, 0.014966702643844308)	(12.0, 0.008297561025610163)	(13.0, 0.0048931631707075495)	(14.0, 0.0032331239690135505)	(15.0, 0.0027351122085053506)	(16.0, 0.0037205957980824223)	(17.0, 0.006550567389541716)	(18.0, 0.011238201897182389)	(19.0, 0.01583361200472895)	(20.0, 0.02176495842221021)	(21.0, 0.031453790397811536)	(22.0, 0.04508455673172115)	(23.0, 0.06296818540139919)	(24.0, 0.08479901839510519)	(25.0, 0.11516192588894639)	(26.0, 0.14882119694043708)	(27.0, 0.18633281293300177)	(28.0, 0.23193382630524997)	(29.0, 0.28079958344082967)	(30.0, 0.33174697703567646)	(31.0, 0.3812609399547748)	(32.0, 0.4382081895214584)	(33.0, 0.5177556870769189)	(34.0, 0.5912137392433083)	(35.0, 0.6448198305437253)	(36.0, 0.7108788508397071)	(37.0, 0.7792118613437238)	(38.0, 0.8099542063693806)	(39.0, 0.8251949472306475)	(40.0, 0.8430864808489049)	(41.0, 0.9898181363814956)	(42.0, 1.0742087324333267)	(43.0, 0.9428890916478923)	(44.0, 0.9124919293768732)	(45.0, 0.9499297658493626)	(46.0, 0.9658793170999241)	(47.0, 1.1232800182319733)	(48.0, 1.1128639309870585)	(49.0, 0.9568018011478039)	(50.0, 0.9920130771037354)	(51.0, 1.067502701055055)	(52.0, 1.0781612067230744)	(53.0, 1.632804018854778)	(54.0, 5.183922989358543)	(55.0, 6.496605575555221)	(56.0, 3.9512859124778323)	(57.0, 3.3597849601028025)	(58.0, 4.558578317131834)	(59.0, 4.5535217850238165)	(60.0, 4.113816925237974)	(61.0, 7.0700621653061235)	(62.0, 8.703319401212793)	(63.0, 7.567494229585161)	(64.0, 7.2121061863310745)	(65.0, 6.136332274079007)	(66.0, 3.5845463630635908)	(67.0, 1.657607112514374)	(68.0, 0.9638820000921717)	(69.0, 0.5423875068506261)	(70.0, 0.3546133582932963)	(71.0, 0.21359434560082102)	(72.0, 0.13884778681597393)	(73.0, 0.1184503844980164)	(74.0, 0.08527595029273474)	(75.0, 0.0668205303424732)	(76.0, 0.0727307968970758)	(77.0, 0.06526062048945282)	(78.0, 0.05735567190995758)	(79.0, 0.04464714957698907)	(80.0, 0.03721386292940372)	(81.0, 0.04136132595077889)	(82.0, 0.04688688500784606)	(83.0, 0.04234417455749613)	(84.0, 0.027380106896511654)	(85.0, 0.02477147386527823)	(86.0, 0.022792601737544587)	(87.0, 0.0129904654989705)	(88.0, 0.004964307707923006)	(89.0, 0.0031856942775365786)	(90.0, 0.002147511030762872)	(91.0, 0.001277966687018396)	(92.0, 0.0008642743780248121)	(93.0, 0.0006613806978177678)	(94.0, 0.0005823312120228155)	(95.0, 0.000577061246303152)	(96.0, 0.0005243615891065171)	(97.0, 0.00046112200047055524)	(98.0, 0.00046112200047055524)	(99.0, 0.0004400421375919013)	(100.0, 0.00045848701761072347)
