Sample	Unique Reads	Duplicate Reads
SRR11856162_1	6220416.0	20518170.0
SRR11856162_2	7875056.0	18863530.0
SRR11856164_1	4297390.0	18528815.0
SRR11856164_2	5460378.0	17365827.0
SRR11856165_1	3173469.0	15265461.0
SRR11856165_2	3993601.0	14445329.0
SRR11856166_1	2375574.0	16598257.0
SRR11856166_2	2587738.0	16386093.0
