Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR11856162_1	(0.0, 35.0)	(1.0, 109.5)	(2.0, 236.0)	(3.0, 429.0)	(4.0, 767.5)	(5.0, 1219.0)	(6.0, 1675.0)	(7.0, 2126.5)	(8.0, 2434.5)	(9.0, 2599.0)	(10.0, 2624.5)	(11.0, 2489.5)	(12.0, 2295.5)	(13.0, 2045.0)	(14.0, 1856.5)	(15.0, 1842.0)	(16.0, 2035.0)	(17.0, 2630.5)	(18.0, 3787.0)	(19.0, 5766.0)	(20.0, 8792.0)	(21.0, 14206.5)	(22.0, 23695.0)	(23.0, 34582.5)	(24.0, 49390.5)	(25.0, 67195.0)	(26.0, 86581.0)	(27.0, 113009.0)	(28.0, 144077.5)	(29.0, 179738.5)	(30.0, 213294.0)	(31.0, 246949.0)	(32.0, 284915.0)	(33.0, 325182.0)	(34.0, 366360.0)	(35.0, 427630.5)	(36.0, 473974.0)	(37.0, 512789.5)	(38.0, 546786.0)	(39.0, 565255.0)	(40.0, 580194.5)	(41.0, 587256.0)	(42.0, 647957.0)	(43.0, 671084.0)	(44.0, 667269.5)	(45.0, 654029.0)	(46.0, 597097.5)	(47.0, 573193.0)	(48.0, 562856.5)	(49.0, 543325.5)	(50.0, 534695.5)	(51.0, 621832.5)	(52.0, 740364.0)	(53.0, 695932.5)	(54.0, 679308.5)	(55.0, 796670.0)	(56.0, 754701.5)	(57.0, 610940.5)	(58.0, 590840.0)	(59.0, 526585.0)	(60.0, 502021.5)	(61.0, 898905.5)	(62.0, 1405294.0)	(63.0, 1594123.5)	(64.0, 1131042.5)	(65.0, 637682.5)	(66.0, 653526.5)	(67.0, 665686.0)	(68.0, 653379.0)	(69.0, 497697.5)	(70.0, 231337.0)	(71.0, 115148.0)	(72.0, 140289.0)	(73.0, 102954.5)	(74.0, 23182.0)	(75.0, 21024.0)	(76.0, 20770.5)	(77.0, 17779.0)	(78.0, 13103.5)	(79.0, 7993.0)	(80.0, 5415.0)	(81.0, 5101.0)	(82.0, 5061.5)	(83.0, 7859.0)	(84.0, 7802.5)	(85.0, 3712.5)	(86.0, 5598.0)	(87.0, 4938.0)	(88.0, 570.5)	(89.0, 35.5)	(90.0, 13.0)	(91.0, 6.5)	(92.0, 4.0)	(93.0, 2.0)	(94.0, 2.0)	(95.0, 2.5)	(96.0, 2.0)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
SRR11856162_2	(0.0, 793.0)	(1.0, 742.5)	(2.0, 952.0)	(3.0, 1602.5)	(4.0, 2311.0)	(5.0, 2673.5)	(6.0, 2681.0)	(7.0, 2486.0)	(8.0, 2161.5)	(9.0, 1748.0)	(10.0, 1326.5)	(11.0, 1061.0)	(12.0, 933.0)	(13.0, 859.5)	(14.0, 921.0)	(15.0, 1217.0)	(16.0, 1867.0)	(17.0, 2923.0)	(18.0, 4720.0)	(19.0, 7789.0)	(20.0, 12534.0)	(21.0, 19269.0)	(22.0, 29338.0)	(23.0, 43812.5)	(24.0, 60989.5)	(25.0, 81946.0)	(26.0, 108687.0)	(27.0, 138592.0)	(28.0, 169701.0)	(29.0, 204271.0)	(30.0, 238305.0)	(31.0, 270550.0)	(32.0, 302796.0)	(33.0, 337474.5)	(34.0, 374733.0)	(35.0, 413509.5)	(36.0, 450051.5)	(37.0, 482297.5)	(38.0, 510997.0)	(39.0, 531712.0)	(40.0, 546345.0)	(41.0, 562208.5)	(42.0, 569757.5)	(43.0, 557494.0)	(44.0, 550332.0)	(45.0, 549507.0)	(46.0, 535556.0)	(47.0, 520770.5)	(48.0, 506402.0)	(49.0, 489065.5)	(50.0, 478655.5)	(51.0, 481122.5)	(52.0, 480171.0)	(53.0, 669149.5)	(54.0, 755936.5)	(55.0, 645649.0)	(56.0, 604738.0)	(57.0, 576139.5)	(58.0, 669428.5)	(59.0, 667753.0)	(60.0, 628468.0)	(61.0, 862574.0)	(62.0, 1096438.0)	(63.0, 1288572.0)	(64.0, 1532364.5)	(65.0, 1556060.0)	(66.0, 1135873.0)	(67.0, 719341.0)	(68.0, 515503.0)	(69.0, 322097.5)	(70.0, 235827.0)	(71.0, 155188.0)	(72.0, 87325.0)	(73.0, 70510.5)	(74.0, 55497.5)	(75.0, 39670.0)	(76.0, 39611.0)	(77.0, 37262.0)	(78.0, 31035.0)	(79.0, 23330.0)	(80.0, 18342.0)	(81.0, 16025.0)	(82.0, 10378.5)	(83.0, 6702.5)	(84.0, 3777.0)	(85.0, 4301.0)	(86.0, 4204.5)	(87.0, 1776.0)	(88.0, 530.0)	(89.0, 172.0)	(90.0, 130.0)	(91.0, 84.0)	(92.0, 63.5)	(93.0, 53.5)	(94.0, 48.0)	(95.0, 51.5)	(96.0, 51.5)	(97.0, 43.5)	(98.0, 44.5)	(99.0, 50.0)	(100.0, 58.0)
SRR11856164_1	(0.0, 50.0)	(1.0, 114.5)	(2.0, 225.0)	(3.0, 386.0)	(4.0, 623.0)	(5.0, 842.5)	(6.0, 992.5)	(7.0, 1039.0)	(8.0, 931.0)	(9.0, 779.0)	(10.0, 704.0)	(11.0, 689.5)	(12.0, 692.0)	(13.0, 705.5)	(14.0, 754.0)	(15.0, 873.5)	(16.0, 1165.0)	(17.0, 1696.0)	(18.0, 2555.0)	(19.0, 3853.0)	(20.0, 5887.5)	(21.0, 9769.0)	(22.0, 16062.5)	(23.0, 22996.5)	(24.0, 32301.0)	(25.0, 43997.0)	(26.0, 57660.5)	(27.0, 75626.0)	(28.0, 95398.5)	(29.0, 117322.5)	(30.0, 141785.5)	(31.0, 167285.0)	(32.0, 192284.0)	(33.0, 220259.0)	(34.0, 253064.0)	(35.0, 295446.5)	(36.0, 330818.5)	(37.0, 375330.0)	(38.0, 402136.0)	(39.0, 406828.0)	(40.0, 417513.5)	(41.0, 428734.5)	(42.0, 507556.5)	(43.0, 534950.5)	(44.0, 516023.0)	(45.0, 494211.5)	(46.0, 433372.5)	(47.0, 409517.5)	(48.0, 397791.5)	(49.0, 386168.5)	(50.0, 387856.0)	(51.0, 477191.5)	(52.0, 633244.0)	(53.0, 621382.5)	(54.0, 631490.5)	(55.0, 792045.0)	(56.0, 721513.5)	(57.0, 542629.0)	(58.0, 539616.5)	(59.0, 477554.5)	(60.0, 463710.5)	(61.0, 906710.5)	(62.0, 1350026.5)	(63.0, 1492659.5)	(64.0, 1115997.5)	(65.0, 652190.0)	(66.0, 650484.5)	(67.0, 665551.0)	(68.0, 679894.5)	(69.0, 524930.0)	(70.0, 229022.0)	(71.0, 106544.0)	(72.0, 145752.0)	(73.0, 106573.0)	(74.0, 15317.5)	(75.0, 15184.0)	(76.0, 15957.5)	(77.0, 13647.0)	(78.0, 9876.5)	(79.0, 5562.5)	(80.0, 3235.0)	(81.0, 3009.5)	(82.0, 3104.0)	(83.0, 4831.5)	(84.0, 4888.5)	(85.0, 2513.5)	(86.0, 3388.0)	(87.0, 2937.0)	(88.0, 387.5)	(89.0, 30.5)	(90.0, 14.0)	(91.0, 3.0)	(92.0, 3.5)	(93.0, 2.5)	(94.0, 1.0)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11856164_2	(0.0, 543.0)	(1.0, 427.0)	(2.0, 387.5)	(3.0, 558.5)	(4.0, 753.0)	(5.0, 861.0)	(6.0, 841.5)	(7.0, 810.5)	(8.0, 717.0)	(9.0, 580.5)	(10.0, 484.0)	(11.0, 399.5)	(12.0, 380.5)	(13.0, 420.5)	(14.0, 518.0)	(15.0, 722.5)	(16.0, 1161.5)	(17.0, 1837.5)	(18.0, 2906.5)	(19.0, 4854.0)	(20.0, 7870.0)	(21.0, 12118.5)	(22.0, 18610.0)	(23.0, 28359.5)	(24.0, 39276.5)	(25.0, 53100.0)	(26.0, 70194.0)	(27.0, 88437.5)	(28.0, 107876.0)	(29.0, 129919.5)	(30.0, 153591.0)	(31.0, 177584.0)	(32.0, 202353.5)	(33.0, 229451.0)	(34.0, 259642.0)	(35.0, 290572.5)	(36.0, 320392.0)	(37.0, 346520.5)	(38.0, 370551.5)	(39.0, 387787.0)	(40.0, 397582.5)	(41.0, 411490.0)	(42.0, 416847.0)	(43.0, 404044.5)	(44.0, 395277.5)	(45.0, 390589.5)	(46.0, 377034.0)	(47.0, 365049.5)	(48.0, 356129.5)	(49.0, 340956.0)	(50.0, 333620.5)	(51.0, 344620.0)	(52.0, 340712.0)	(53.0, 358294.0)	(54.0, 663433.5)	(55.0, 834059.5)	(56.0, 594986.5)	(57.0, 489484.5)	(58.0, 620984.5)	(59.0, 613016.0)	(60.0, 551552.5)	(61.0, 844850.5)	(62.0, 1112827.0)	(63.0, 1306822.0)	(64.0, 1562364.5)	(65.0, 1601990.5)	(66.0, 1197057.0)	(67.0, 754887.5)	(68.0, 523856.0)	(69.0, 306466.5)	(70.0, 211726.0)	(71.0, 133280.0)	(72.0, 67814.5)	(73.0, 56896.0)	(74.0, 45045.0)	(75.0, 29923.5)	(76.0, 33622.5)	(77.0, 32419.5)	(78.0, 26104.5)	(79.0, 18659.0)	(80.0, 13441.0)	(81.0, 11523.0)	(82.0, 6655.0)	(83.0, 4280.5)	(84.0, 2310.5)	(85.0, 2501.0)	(86.0, 2594.5)	(87.0, 1237.0)	(88.0, 372.0)	(89.0, 144.0)	(90.0, 122.0)	(91.0, 81.5)	(92.0, 65.5)	(93.0, 51.0)	(94.0, 49.0)	(95.0, 48.0)	(96.0, 40.0)	(97.0, 35.5)	(98.0, 35.0)	(99.0, 43.5)	(100.0, 63.5)
SRR11856165_1	(0.0, 43.0)	(1.0, 86.0)	(2.0, 209.0)	(3.0, 446.5)	(4.0, 831.5)	(5.0, 1296.0)	(6.0, 1720.0)	(7.0, 2013.0)	(8.0, 2158.5)	(9.0, 2049.5)	(10.0, 1784.0)	(11.0, 1495.5)	(12.0, 1219.5)	(13.0, 1008.0)	(14.0, 811.5)	(15.0, 720.5)	(16.0, 766.0)	(17.0, 966.0)	(18.0, 1404.5)	(19.0, 2024.0)	(20.0, 3103.0)	(21.0, 4972.5)	(22.0, 8109.5)	(23.0, 11650.0)	(24.0, 16037.5)	(25.0, 22013.5)	(26.0, 29432.0)	(27.0, 38984.5)	(28.0, 49869.5)	(29.0, 62575.5)	(30.0, 76289.0)	(31.0, 90332.5)	(32.0, 105575.5)	(33.0, 122553.5)	(34.0, 140749.5)	(35.0, 163926.5)	(36.0, 185328.5)	(37.0, 216247.0)	(38.0, 234637.5)	(39.0, 238198.0)	(40.0, 250572.0)	(41.0, 259107.5)	(42.0, 325726.0)	(43.0, 348403.5)	(44.0, 336792.0)	(45.0, 323865.5)	(46.0, 273845.5)	(47.0, 264489.0)	(48.0, 274938.5)	(49.0, 270176.0)	(50.0, 254230.5)	(51.0, 319771.0)	(52.0, 391565.5)	(53.0, 388289.5)	(54.0, 432096.0)	(55.0, 578093.0)	(56.0, 576822.0)	(57.0, 438808.0)	(58.0, 443111.0)	(59.0, 439057.5)	(60.0, 553190.5)	(61.0, 1078015.0)	(62.0, 1704835.5)	(63.0, 1967536.5)	(64.0, 1295397.5)	(65.0, 549176.5)	(66.0, 481088.5)	(67.0, 461727.5)	(68.0, 464397.5)	(69.0, 342846.5)	(70.0, 136263.5)	(71.0, 78449.5)	(72.0, 79266.5)	(73.0, 50502.0)	(74.0, 15774.0)	(75.0, 16395.0)	(76.0, 16596.5)	(77.0, 15827.0)	(78.0, 13940.5)	(79.0, 9149.0)	(80.0, 5872.0)	(81.0, 6285.0)	(82.0, 6553.0)	(83.0, 12490.0)	(84.0, 13887.5)	(85.0, 7250.0)	(86.0, 11446.5)	(87.0, 10124.0)	(88.0, 1169.5)	(89.0, 57.0)	(90.0, 20.5)	(91.0, 9.0)	(92.0, 4.0)	(93.0, 4.5)	(94.0, 4.5)	(95.0, 2.0)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR11856165_2	(0.0, 442.0)	(1.0, 461.0)	(2.0, 712.5)	(3.0, 1258.5)	(4.0, 1846.5)	(5.0, 2208.5)	(6.0, 2205.5)	(7.0, 2072.0)	(8.0, 1832.5)	(9.0, 1461.0)	(10.0, 1121.5)	(11.0, 869.5)	(12.0, 698.5)	(13.0, 598.5)	(14.0, 584.5)	(15.0, 633.5)	(16.0, 828.5)	(17.0, 1192.5)	(18.0, 1792.0)	(19.0, 2736.0)	(20.0, 4179.5)	(21.0, 6287.0)	(22.0, 9341.5)	(23.0, 14033.0)	(24.0, 19826.0)	(25.0, 27629.5)	(26.0, 36842.0)	(27.0, 46379.5)	(28.0, 57766.5)	(29.0, 70894.0)	(30.0, 83972.0)	(31.0, 97318.5)	(32.0, 111911.0)	(33.0, 127665.0)	(34.0, 144428.0)	(35.0, 163531.5)	(36.0, 182796.5)	(37.0, 199993.0)	(38.0, 214110.0)	(39.0, 225193.0)	(40.0, 234746.5)	(41.0, 247623.5)	(42.0, 254524.5)	(43.0, 248333.5)	(44.0, 246050.0)	(45.0, 246151.0)	(46.0, 243060.5)	(47.0, 241451.0)	(48.0, 234554.0)	(49.0, 225534.0)	(50.0, 225907.5)	(51.0, 238189.0)	(52.0, 235480.5)	(53.0, 249224.5)	(54.0, 441317.5)	(55.0, 568891.0)	(56.0, 463831.5)	(57.0, 411023.5)	(58.0, 521184.0)	(59.0, 570281.5)	(60.0, 606948.5)	(61.0, 934934.5)	(62.0, 1138385.0)	(63.0, 1217548.5)	(64.0, 1662022.5)	(65.0, 1825007.0)	(66.0, 1109974.0)	(67.0, 491519.5)	(68.0, 333973.0)	(69.0, 222254.5)	(70.0, 171514.5)	(71.0, 108682.0)	(72.0, 67569.0)	(73.0, 55208.5)	(74.0, 41518.0)	(75.0, 30781.5)	(76.0, 34819.5)	(77.0, 33044.0)	(78.0, 28231.5)	(79.0, 22613.5)	(80.0, 20677.0)	(81.0, 20092.0)	(82.0, 13019.0)	(83.0, 8413.5)	(84.0, 5032.5)	(85.0, 6633.0)	(86.0, 6448.5)	(87.0, 2625.0)	(88.0, 892.0)	(89.0, 389.0)	(90.0, 305.0)	(91.0, 247.5)	(92.0, 200.5)	(93.0, 157.0)	(94.0, 108.5)	(95.0, 78.5)	(96.0, 62.5)	(97.0, 43.5)	(98.0, 42.0)	(99.0, 45.0)	(100.0, 49.5)
SRR11856166_1	(0.0, 140.0)	(1.0, 343.0)	(2.0, 637.0)	(3.0, 1149.0)	(4.0, 2426.5)	(5.0, 4488.5)	(6.0, 7889.5)	(7.0, 12538.5)	(8.0, 18007.0)	(9.0, 23464.5)	(10.0, 27523.0)	(11.0, 29404.5)	(12.0, 28510.0)	(13.0, 25212.5)	(14.0, 20409.5)	(15.0, 15111.0)	(16.0, 10411.0)	(17.0, 7111.5)	(18.0, 5342.0)	(19.0, 4507.0)	(20.0, 4649.5)	(21.0, 6110.0)	(22.0, 8790.0)	(23.0, 12128.0)	(24.0, 16467.5)	(25.0, 21714.5)	(26.0, 27576.0)	(27.0, 34571.0)	(28.0, 43083.5)	(29.0, 53611.5)	(30.0, 63686.0)	(31.0, 72886.5)	(32.0, 84310.5)	(33.0, 97310.5)	(34.0, 110638.5)	(35.0, 124443.5)	(36.0, 189391.0)	(37.0, 401323.0)	(38.0, 370694.5)	(39.0, 203475.5)	(40.0, 197304.5)	(41.0, 185770.0)	(42.0, 369642.5)	(43.0, 398125.5)	(44.0, 231995.5)	(45.0, 195639.0)	(46.0, 178065.5)	(47.0, 180113.5)	(48.0, 194848.0)	(49.0, 231562.0)	(50.0, 225911.5)	(51.0, 228406.0)	(52.0, 349736.0)	(53.0, 460977.5)	(54.0, 675966.5)	(55.0, 931035.0)	(56.0, 813657.0)	(57.0, 613985.5)	(58.0, 854517.0)	(59.0, 1035417.0)	(60.0, 1204420.5)	(61.0, 1645461.5)	(62.0, 1435824.0)	(63.0, 1089079.0)	(64.0, 932473.5)	(65.0, 528522.5)	(66.0, 343617.5)	(67.0, 321385.0)	(68.0, 268076.0)	(69.0, 175451.5)	(70.0, 80202.5)	(71.0, 38882.0)	(72.0, 36540.5)	(73.0, 27503.5)	(74.0, 9965.5)	(75.0, 10803.5)	(76.0, 11466.5)	(77.0, 9949.5)	(78.0, 8850.0)	(79.0, 7278.5)	(80.0, 5173.0)	(81.0, 5684.0)	(82.0, 7721.0)	(83.0, 7611.0)	(84.0, 5928.0)	(85.0, 4646.0)	(86.0, 3692.0)	(87.0, 2430.5)	(88.0, 686.0)	(89.0, 237.0)	(90.0, 96.5)	(91.0, 38.5)	(92.0, 15.5)	(93.0, 8.0)	(94.0, 3.0)	(95.0, 3.5)	(96.0, 4.5)	(97.0, 4.5)	(98.0, 3.0)	(99.0, 1.0)	(100.0, 0.0)
SRR11856166_2	(0.0, 3339.0)	(1.0, 6649.5)	(2.0, 14675.5)	(3.0, 22910.5)	(4.0, 27903.5)	(5.0, 28105.5)	(6.0, 24109.5)	(7.0, 18198.0)	(8.0, 12462.0)	(9.0, 7985.0)	(10.0, 4866.0)	(11.0, 2840.0)	(12.0, 1574.5)	(13.0, 928.5)	(14.0, 613.5)	(15.0, 519.0)	(16.0, 706.0)	(17.0, 1243.0)	(18.0, 2132.5)	(19.0, 3004.5)	(20.0, 4130.0)	(21.0, 5968.5)	(22.0, 8555.0)	(23.0, 11948.5)	(24.0, 16091.0)	(25.0, 21852.5)	(26.0, 28239.5)	(27.0, 35357.5)	(28.0, 44010.5)	(29.0, 53283.0)	(30.0, 62950.5)	(31.0, 72346.0)	(32.0, 83152.0)	(33.0, 98246.5)	(34.0, 112185.5)	(35.0, 122357.5)	(36.0, 134892.5)	(37.0, 147859.0)	(38.0, 153692.5)	(39.0, 156584.5)	(40.0, 159979.5)	(41.0, 187822.5)	(42.0, 203836.0)	(43.0, 178917.5)	(44.0, 173149.5)	(45.0, 180253.5)	(46.0, 183280.0)	(47.0, 213147.5)	(48.0, 211171.0)	(49.0, 181557.5)	(50.0, 188239.0)	(51.0, 202563.5)	(52.0, 204586.0)	(53.0, 309832.0)	(54.0, 983673.0)	(55.0, 1232760.5)	(56.0, 749774.5)	(57.0, 637534.5)	(58.0, 865011.0)	(59.0, 864051.5)	(60.0, 780615.5)	(61.0, 1341576.5)	(62.0, 1651494.5)	(63.0, 1435966.5)	(64.0, 1368530.0)	(65.0, 1164397.0)	(66.0, 680184.0)	(67.0, 314538.5)	(68.0, 182901.0)	(69.0, 102920.5)	(70.0, 67289.5)	(71.0, 40530.5)	(72.0, 26347.0)	(73.0, 22476.5)	(74.0, 16181.5)	(75.0, 12679.5)	(76.0, 13801.0)	(77.0, 12383.5)	(78.0, 10883.5)	(79.0, 8472.0)	(80.0, 7061.5)	(81.0, 7848.5)	(82.0, 8897.0)	(83.0, 8035.0)	(84.0, 5195.5)	(85.0, 4700.5)	(86.0, 4325.0)	(87.0, 2465.0)	(88.0, 942.0)	(89.0, 604.5)	(90.0, 407.5)	(91.0, 242.5)	(92.0, 164.0)	(93.0, 125.5)	(94.0, 110.5)	(95.0, 109.5)	(96.0, 99.5)	(97.0, 87.5)	(98.0, 87.5)	(99.0, 83.5)	(100.0, 87.0)
