Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11856162_1	(1, 31.476312771363453)	(2, 32.40435934046774)	(3, 32.3538079762333)	(4, 32.53406702209309)	(5, 32.56370419138843)	(6, 36.020510620868286)	(7, 36.2723609991942)	(8, 36.36879175286232)	(9, 36.42620604545057)	(10, 36.43654120303893)	(12, 36.441015673005296)	(14, 36.42500644948091)	(16, 36.42775764208324)	(18, 36.40769438967341)	(20, 36.39966070008339)	(22, 36.380646549522105)	(24, 36.38997503458111)	(26, 36.36337099127082)	(28, 36.350867226112854)	(30, 36.33208603476639)	(32, 36.306143862656015)	(34, 36.288793487434226)	(36, 36.24515004271355)	(38, 36.21045939003656)	(40, 36.20596367736125)	(42, 36.20441451167238)	(44, 36.21962492706234)	(46, 36.222559936415486)	(48, 36.205242640729026)	(50, 36.174506553936695)	(52, 36.139987282797975)	(54, 36.09536334494277)	(56, 36.06650886475448)	(58, 36.03200311340323)	(60, 36.02599709274081)	(62, 36.00342559251263)	(64, 36.009402853239884)	(66, 35.99752859033009)	(68, 35.92666018315254)	(70, 35.92883911288353)	(72, 35.94316922742287)	(74, 35.93416706852038)	(76, 35.89076208068744)	(78, 35.86679028202913)	(80, 35.84383876918548)	(82, 35.838397886859084)	(84, 35.83073059659924)	(86, 35.8271331737587)	(88, 35.819876095916214)	(90, 35.8091958565049)	(92, 35.76987717301132)	(94, 35.7297116982925)	(96, 35.70334641106302)	(98, 35.668441274344126)	(100, 35.635469822525394)	(102, 35.595749603213875)	(104, 35.57077805086627)	(106, 35.55431981332147)	(108, 35.51924733417093)	(110, 35.506900832377596)	(112, 35.51113785523289)	(114, 35.50577659566591)	(116, 35.44877863025367)	(118, 35.41257899725886)	(120, 35.37620807622363)	(122, 35.316267322438065)	(124, 35.30259956528741)
SRR11856162_2	(1, 32.46344930132057)	(2, 32.45984780197427)	(3, 32.46384154345334)	(4, 32.478151462459536)	(5, 32.496093323708294)	(6, 36.20511626905028)	(7, 36.09022418014176)	(8, 35.95201855475828)	(9, 35.90428005430055)	(10, 35.88809849555994)	(12, 36.01012426386347)	(14, 36.024753833280485)	(16, 35.92261933746235)	(18, 35.870724876775455)	(20, 35.86502921283871)	(22, 35.8518346669491)	(24, 36.00362571528652)	(26, 35.892368635349676)	(28, 36.01766508894674)	(30, 36.04508869691165)	(32, 36.07784381343127)	(34, 36.06727700559783)	(36, 36.08376546164408)	(38, 36.07726906351742)	(40, 36.06314651417992)	(42, 36.04195780958649)	(44, 36.031321233665835)	(46, 36.00017571983799)	(48, 35.980410445039986)	(50, 35.975066688268406)	(52, 35.99354474092235)	(54, 35.98804469316366)	(56, 35.985821034066646)	(58, 35.98565617867751)	(60, 35.96725247550488)	(62, 35.9206100689094)	(64, 35.93445377029286)	(66, 35.88583711943481)	(68, 35.8578986562715)	(70, 35.89191537652739)	(72, 35.90402014900863)	(74, 35.8954469207908)	(76, 35.87127320420011)	(78, 35.788550636148074)	(80, 35.813209531723174)	(82, 35.824340468116006)	(84, 35.81884258950716)	(86, 35.79636019271924)	(88, 35.75074416799752)	(90, 35.7397694103944)	(92, 35.712232408250756)	(94, 35.65122703197544)	(96, 35.65601458880436)	(98, 35.63752752295876)	(100, 35.622192792842526)	(102, 35.61684092045854)	(104, 35.5856994083382)	(106, 35.53562955797288)	(108, 35.49386642958606)	(110, 35.486755657161524)	(112, 35.48037936635842)	(114, 35.435861230657444)	(116, 35.409999859379255)	(118, 35.384809877380945)	(120, 35.338150454178844)	(122, 35.335425440971335)	(124, 35.30221427939384)
SRR11856164_1	(1, 31.346678302416016)	(2, 32.37107175721939)	(3, 32.321849996528115)	(4, 32.51296805579377)	(5, 32.54494489995161)	(6, 35.98796089844983)	(7, 36.24693316300279)	(8, 36.34909806514048)	(9, 36.402265247333055)	(10, 36.41224500524726)	(12, 36.41910135740917)	(14, 36.402187047737456)	(16, 36.40740815216546)	(18, 36.38206359751873)	(20, 36.37203334938944)	(22, 36.34930138408903)	(24, 36.362313731082324)	(26, 36.34402696374627)	(28, 36.33376634442738)	(30, 36.3133845726874)	(32, 36.287053104096806)	(34, 36.26594758086156)	(36, 36.21002742242962)	(38, 36.17351460744351)	(40, 36.17075505980955)	(42, 36.17918088004554)	(44, 36.19741621526662)	(46, 36.20577386823609)	(48, 36.1860150427984)	(50, 36.160429120828454)	(52, 36.12433659033554)	(54, 36.081405998062316)	(56, 36.050683041705796)	(58, 36.01412098506957)	(60, 35.99267699120375)	(62, 35.97162850767353)	(64, 35.98045329917961)	(66, 35.96508561103346)	(68, 35.87309699531744)	(70, 35.887828769609314)	(72, 35.90445623790727)	(74, 35.89502072289283)	(76, 35.85683270609372)	(78, 35.83781434539819)	(80, 35.816220523735765)	(82, 35.81170917373256)	(84, 35.811556016429364)	(86, 35.818864677680764)	(88, 35.808338793067)	(90, 35.79469513219565)	(92, 35.75055553474614)	(94, 35.70725287011135)	(96, 35.67336313679826)	(98, 35.639289930148266)	(100, 35.605574645456834)	(102, 35.56782480924884)	(104, 35.52601166072065)	(106, 35.51364352944346)	(108, 35.48237600161744)	(110, 35.469919791748126)	(112, 35.48036075203916)	(114, 35.4801088704846)	(116, 35.40528362029518)	(118, 35.37015112674227)	(120, 35.33929630440102)	(122, 35.27127617140037)	(124, 35.26725870550974)
SRR11856164_2	(1, 32.40002378844841)	(2, 32.390762152534776)	(3, 32.39681462599675)	(4, 32.41027770494482)	(5, 32.42594496106558)	(6, 36.10673048805091)	(7, 35.972701682123684)	(8, 35.82982677146727)	(9, 35.79215344819693)	(10, 35.772048113122615)	(12, 35.897087733155814)	(14, 35.9103235513744)	(16, 35.81022771853665)	(18, 35.739535196498935)	(20, 35.73408593325084)	(22, 35.72084753028372)	(24, 35.885340401525355)	(26, 35.76385524882476)	(28, 35.895153486968155)	(30, 35.9208734653877)	(32, 35.95864001484259)	(34, 35.94278757682234)	(36, 35.96767855190996)	(38, 35.95765982562585)	(40, 35.94551468367169)	(42, 35.923539545885966)	(44, 35.91473173048257)	(46, 35.87327365630861)	(48, 35.849922840875216)	(50, 35.84510865910474)	(52, 35.86990036232479)	(54, 35.858396303721975)	(56, 35.86139259679828)	(58, 35.85893285809008)	(60, 35.8386308630804)	(62, 35.78855094396988)	(64, 35.800084683371594)	(66, 35.74725599371425)	(68, 35.717840175359854)	(70, 35.75660272918779)	(72, 35.77117070051723)	(74, 35.76443464868558)	(76, 35.73446227701889)	(78, 35.6494191653847)	(80, 35.685626081952734)	(82, 35.69875428263261)	(84, 35.69455354054693)	(86, 35.6735315397369)	(88, 35.6211532534646)	(90, 35.60584656976488)	(92, 35.57075773217668)	(94, 35.49393333232572)	(96, 35.49983161896601)	(98, 35.48216941887624)	(100, 35.472606068332425)	(102, 35.467472648212876)	(104, 35.432757241074455)	(106, 35.381631243564144)	(108, 35.34453399064803)	(110, 35.3364857846497)	(112, 35.33978655234192)	(114, 35.28190741737402)	(116, 35.252743130099816)	(118, 35.226657278334265)	(120, 35.174755834357924)	(122, 35.178744955633235)	(124, 35.14738457400168)
SRR11856165_1	(1, 31.422512314977062)	(2, 32.36550819380517)	(3, 32.31866930456377)	(4, 32.50277017158805)	(5, 32.541944516303275)	(6, 35.9862105881415)	(7, 36.251136915211454)	(8, 36.362421897583)	(9, 36.412878079151014)	(10, 36.42229519283386)	(12, 36.43487038022271)	(14, 36.42063902298018)	(16, 36.428353407708585)	(18, 36.393191768719774)	(20, 36.380624038379665)	(22, 36.353565662432686)	(24, 36.37434935215872)	(26, 36.363102902391844)	(28, 36.34943800968928)	(30, 36.32989875225948)	(32, 36.29991119332846)	(34, 36.27627183356084)	(36, 36.196111325331785)	(38, 36.14922913097452)	(40, 36.14298768963275)	(42, 36.15259556818101)	(44, 36.19502102345418)	(46, 36.217715236187786)	(48, 36.20047879676315)	(50, 36.17713622753598)	(52, 36.14488571191495)	(54, 36.09979505318367)	(56, 36.07514449048833)	(58, 36.01803033039336)	(60, 36.0358619507748)	(62, 36.027077276176)	(64, 36.018134620609764)	(66, 35.99511923956542)	(68, 35.92261145305069)	(70, 35.92331488323889)	(72, 35.95005629393897)	(74, 35.940492886517816)	(76, 35.889709571000054)	(78, 35.851755172344596)	(80, 35.848612555066914)	(82, 35.856455417966224)	(84, 35.842602960150074)	(86, 35.85444152670464)	(88, 35.85986949893513)	(90, 35.85668224783109)	(92, 35.817188524496814)	(94, 35.78796087950873)	(96, 35.750324422295655)	(98, 35.70466973951308)	(100, 35.666592231761825)	(102, 35.61640870701282)	(104, 35.58776959942904)	(106, 35.57540860559696)	(108, 35.552909957356526)	(110, 35.53305511762342)	(112, 35.55010895426145)	(114, 35.56957863064722)	(116, 35.48485245618916)	(118, 35.439961022684074)	(120, 35.408340858173446)	(122, 35.3462527923258)	(124, 35.36663049320107)
SRR11856165_2	(1, 32.37247638556033)	(2, 32.357347308113866)	(3, 32.34887062318692)	(4, 32.35718981524416)	(5, 32.379506023397234)	(6, 36.04896710383954)	(7, 35.84360838725458)	(8, 35.59688382134972)	(9, 35.553922814393246)	(10, 35.5053874330018)	(12, 35.74544664468058)	(14, 35.77128190193248)	(16, 35.6076915254844)	(18, 35.5124637112891)	(20, 35.505314218341304)	(22, 35.48849005880493)	(24, 35.75221929905911)	(26, 35.570259743922236)	(28, 35.78781450442081)	(30, 35.81311225759846)	(32, 35.85860334628961)	(34, 35.82256245346124)	(36, 35.87205887217968)	(38, 35.86771409729306)	(40, 35.859009172441134)	(42, 35.85299353053567)	(44, 35.82317059612461)	(46, 35.7699387111942)	(48, 35.75175254204013)	(50, 35.73985659688496)	(52, 35.79481930350622)	(54, 35.78497103682264)	(56, 35.78775869857958)	(58, 35.79027215787467)	(60, 35.78525440467533)	(62, 35.69618752281179)	(64, 35.699370326803134)	(66, 35.59566891896655)	(68, 35.55014558870823)	(70, 35.66874317002126)	(72, 35.71290812427836)	(74, 35.69789182452561)	(76, 35.6580903826849)	(78, 35.589921296951616)	(80, 35.620779134147156)	(82, 35.627832688773154)	(84, 35.64016816594022)	(86, 35.60166720628583)	(88, 35.5677704996982)	(90, 35.55270604096876)	(92, 35.47645774456544)	(94, 35.39648821813414)	(96, 35.4341968866957)	(98, 35.397892529555676)	(100, 35.395646818985696)	(102, 35.415974516959494)	(104, 35.37749129152289)	(106, 35.31114804383986)	(108, 35.25801535121615)	(110, 35.27430257612562)	(112, 35.26824666615688)	(114, 35.21872182930355)	(116, 35.19228089699348)	(118, 35.15852384059161)	(120, 35.128071504149105)	(122, 35.13198097720421)	(124, 35.09700966921616)
SRR11856166_1	(1, 20.858017972227117)	(2, 28.079312027181015)	(3, 31.25466016852369)	(4, 32.05670299266395)	(5, 32.422346810193474)	(6, 35.20580983355443)	(7, 35.77912067415379)	(8, 36.18549743591581)	(9, 36.18010437639083)	(10, 36.25862362745826)	(12, 36.22570568379153)	(14, 36.219368956116455)	(16, 36.24954377953509)	(18, 36.232848706199604)	(20, 36.23477957614358)	(22, 36.24170485127648)	(24, 36.24924275967252)	(26, 36.2420576793374)	(28, 36.1326108312022)	(30, 36.150106718037065)	(32, 36.16059901134357)	(34, 36.12709728994635)	(36, 36.03192201933284)	(38, 35.94560892842358)	(40, 35.782148054338634)	(42, 35.66919000174504)	(44, 35.83273512344449)	(46, 35.98389587216203)	(48, 36.001659338064094)	(50, 35.987429133315246)	(52, 35.971998248535044)	(54, 35.77377349360812)	(56, 35.74931538601773)	(58, 35.67650718508034)	(60, 35.667492005172804)	(62, 35.64987231624441)	(64, 35.66329648978111)	(66, 35.636384845000464)	(68, 35.58711899036099)	(70, 35.549293260807474)	(72, 35.536487254471695)	(74, 35.41571246207474)	(76, 35.243259097227124)	(78, 35.21599931505662)	(80, 35.213902268867045)	(82, 35.187995139199884)	(84, 35.13701160298097)	(86, 35.083287397257834)	(88, 35.03344237650267)	(90, 34.97297981098282)	(92, 34.902413803517064)	(94, 34.87482946907243)	(96, 34.77789748944217)	(98, 34.7530126361935)	(100, 34.64015767295493)	(102, 34.58003172896396)	(104, 34.491513890895305)	(106, 34.43520530988181)	(108, 34.295507533507596)	(110, 34.14253102075169)	(112, 34.12843473729686)	(114, 34.0778368638363)	(116, 33.89055807970462)	(118, 33.72068790430356)	(120, 33.6927858691268)	(122, 33.589066356709935)	(124, 33.53122376814677)
SRR11856166_2	(1, 32.361666497398446)	(2, 32.361053547910274)	(3, 32.342888634351176)	(4, 32.332657753724064)	(5, 32.36960000328874)	(6, 35.90946235370179)	(7, 35.80814459662891)	(8, 35.72258728350643)	(9, 35.666102749623946)	(10, 35.67278872147644)	(12, 35.70585110091895)	(14, 35.74718242193683)	(16, 35.61269529595789)	(18, 35.58705234593899)	(20, 35.65125564257424)	(22, 35.580445931029956)	(24, 35.72407925948113)	(26, 35.58698709817749)	(28, 35.695905507959885)	(30, 35.76147948192434)	(32, 35.8295380885389)	(34, 35.80715067505345)	(36, 35.79886742429613)	(38, 35.71628246820582)	(40, 35.74233751212394)	(42, 35.76631466781801)	(44, 35.67243439134669)	(46, 35.642173950005144)	(48, 35.68252518429199)	(50, 35.6888044644226)	(52, 35.72727286861573)	(54, 35.715924000798786)	(56, 35.61197975780432)	(58, 35.6443667596702)	(60, 35.664799639039686)	(62, 35.560439085812455)	(64, 35.587691252230506)	(66, 35.56075544258827)	(68, 35.54853845804782)	(70, 35.615543929952786)	(72, 35.703607141857646)	(74, 35.66281271821173)	(76, 35.62498988738753)	(78, 35.61711583180012)	(80, 35.49038549463205)	(82, 35.45189058024181)	(84, 35.436425701272455)	(86, 35.40521487199923)	(88, 35.34193901062996)	(90, 35.3344890127882)	(92, 35.25934664960387)	(94, 35.1586138297532)	(96, 35.1584028022596)	(98, 35.149497984882444)	(100, 35.11743023852168)	(102, 35.117893323704635)	(104, 35.11861906011495)	(106, 35.06706921759765)	(108, 35.057520592441236)	(110, 35.00425868133853)	(112, 34.96488331744918)	(114, 34.89191513300609)	(116, 34.89821849894204)	(118, 34.88444252507572)	(120, 34.82118321281558)	(122, 34.777979734298256)	(124, 34.71934173441305)
