Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11856162_1	(1, 0.5307685305423405)	(2, 0.42443904849717934)	(3, 0.4244502682378193)	(4, 0.42446522789200597)	(5, 0.42450636694101923)	(6, 0.15793654907555696)	(7, 0.12392577528220826)	(8, 0.10716348276606699)	(9, 0.10573857570478859)	(10, 0.08698477922504952)	(12, 0.072829206450932)	(14, 0.07205317438999953)	(16, 0.07182877957719978)	(18, 0.07224951985119932)	(20, 0.07206813404418617)	(22, 0.07205504434677286)	(24, 0.07735263188562028)	(26, 0.08421350328697262)	(28, 0.08543458505995792)	(30, 0.08349730984278675)	(32, 0.10594614090662835)	(34, 0.10763845178649312)	(36, 0.11029940027494349)	(38, 0.11628139199283015)	(40, 0.12957304473766862)	(42, 0.11972211245575963)	(44, 0.13033598710118777)	(46, 0.14153889813021528)	(48, 0.140577740348723)	(50, 0.14122100547874897)	(52, 0.15823574215928995)	(54, 0.15348418199825525)	(56, 0.1751027522547378)	(58, 0.16059188769368732)	(60, 0.16020293668483443)	(62, 0.15362068884270844)	(64, 0.10595923060404165)	(66, 0.07240098634983914)	(68, 0.08805813441294165)	(70, 0.11116893017454252)	(72, 0.11419826014733912)	(74, 0.12632305986561893)	(76, 0.14555182536578412)	(78, 0.20137751487681513)	(80, 0.23088730271675545)	(82, 0.2171057212973042)	(84, 0.24758414674583015)	(86, 0.2781373704652894)	(88, 0.30709178114355035)	(90, 0.3356067519800785)	(92, 0.3844762022943173)	(94, 0.4315336644951981)	(96, 0.4657557434039332)	(98, 0.5343083587142566)	(100, 0.5945639758213093)	(102, 0.6552552928565482)	(104, 0.764997446013039)	(106, 0.8301897490016861)	(108, 0.9138086060347393)	(110, 0.9895680347494815)	(112, 1.0962471987112556)	(114, 1.2209994948872764)	(116, 1.3651694221975688)	(118, 1.571663138806218)	(120, 1.8624058878805334)	(122, 1.98190734543704)	(124, 1.9858454744016756)
SRR11856162_2	(1, 0.2681069223331406)	(2, 0.2637200037429055)	(3, 0.2642660311207182)	(4, 0.25590732434392754)	(5, 0.24490449868964648)	(6, 0.13692945468395376)	(7, 0.10513644962377591)	(8, 0.08979906416891305)	(9, 0.08735690062294243)	(10, 0.07584170681276864)	(12, 0.06925945897064266)	(14, 0.0688069294314965)	(16, 0.06881440925858982)	(18, 0.06882001912890981)	(20, 0.06859375435933673)	(22, 0.06861993375416336)	(24, 0.0686816423276833)	(26, 0.06889294744306972)	(28, 0.06935482676608255)	(30, 0.07002427129093514)	(32, 0.070740464735121)	(34, 0.0716137345482667)	(36, 0.07359588872799781)	(38, 0.07456078642303673)	(40, 0.09440850761517457)	(42, 0.11077997916568962)	(44, 0.11565869638731083)	(46, 0.13134763371555996)	(48, 0.14583418883855714)	(50, 0.14575378069730388)	(52, 0.14043936354749648)	(54, 0.12415951987887468)	(56, 0.11516128788560472)	(58, 0.1150640501333915)	(60, 0.12154532030975759)	(62, 0.12892416973732268)	(64, 0.1368602662833405)	(66, 0.1445644881894652)	(68, 0.12574337326588622)	(70, 0.1018976844923662)	(72, 0.11616545467288361)	(74, 0.12831082391567003)	(76, 0.14340698494677317)	(78, 0.1622056603890722)	(80, 0.17802736464822785)	(82, 0.19843420291559172)	(84, 0.21976479982898123)	(86, 0.24218184162767617)	(88, 0.26633981318234257)	(90, 0.2927005938159931)	(92, 0.3254267073060632)	(94, 0.3636748031477805)	(96, 0.40627241844426626)	(98, 0.45572342531501103)	(100, 0.5157808270040907)	(102, 0.584383931147294)	(104, 0.6619590878889408)	(106, 0.7499293343335358)	(108, 0.8471913959848137)	(110, 0.9662665033970008)	(112, 1.0817382041069785)	(114, 1.2003645218935661)	(116, 1.3572688548302443)	(118, 1.5625321398820415)	(120, 1.849002037729295)	(122, 1.951187695564754)	(124, 1.9518496602625133)
SRR11856164_1	(1, 0.5313980138178904)	(2, 0.42700483939402106)	(3, 0.4270092203237463)	(4, 0.4270136012534716)	(5, 0.4270355059020981)	(6, 0.1013440473350695)	(7, 0.06828993255777735)	(8, 0.05376715051845017)	(9, 0.052430966952237576)	(10, 0.03657638227642308)	(12, 0.025177203131225713)	(14, 0.02460768226693837)	(16, 0.024428064148201593)	(18, 0.02491653781257112)	(20, 0.024666824818229748)	(22, 0.024640539239878023)	(24, 0.030044416056019825)	(26, 0.03736275916211214)	(28, 0.038171040696427634)	(30, 0.03621495557408689)	(32, 0.057988176308764426)	(34, 0.0604634016035517)	(36, 0.06292986503888842)	(38, 0.06829431348750263)	(40, 0.081973766554712)	(42, 0.07164791519221)	(44, 0.08209862305188269)	(46, 0.09361170636993753)	(48, 0.09268294926817663)	(50, 0.09282971041397377)	(52, 0.10944657686198823)	(54, 0.10450050720213894)	(56, 0.12564506452123775)	(58, 0.11135009082762554)	(60, 0.11011904957481981)	(62, 0.1035739405652407)	(64, 0.0774175996404133)	(66, 0.06671279785667394)	(68, 0.0812202466419626)	(70, 0.10308327643600852)	(72, 0.10242613697721543)	(74, 0.11192180215677551)	(76, 0.12834590769687734)	(78, 0.1810375399677695)	(80, 0.20708873857919002)	(82, 0.18881369023015432)	(84, 0.2137937515237421)	(86, 0.2382196252070811)	(88, 0.260303891952254)	(90, 0.28192378014654645)	(92, 0.322861377964493)	(94, 0.3608988003042994)	(96, 0.38550210164151244)	(98, 0.4443949399385487)	(100, 0.4929641173379456)	(102, 0.5411368205972039)	(104, 0.6368294685866529)	(106, 0.686927590460175)	(108, 0.7544377175268513)	(110, 0.8092431483901945)	(112, 0.8878041706889078)	(114, 0.9836085323863516)	(116, 1.103915434037327)	(118, 1.2865103945224359)	(120, 1.5461001949294682)	(122, 1.6568435269901414)	(124, 1.6609944579048508)
SRR11856164_2	(1, 0.2113930020342847)	(2, 0.2075553075949331)	(3, 0.20802844800526413)	(4, 0.20010334613221956)	(5, 0.19038206307180716)	(6, 0.08181824354946432)	(7, 0.055002572700981175)	(8, 0.04127711987165628)	(9, 0.03912170244681496)	(10, 0.02946613333228191)	(12, 0.023948352343282645)	(14, 0.023543116343693576)	(16, 0.02355187820314415)	(18, 0.023569401922045298)	(20, 0.023411688451934958)	(22, 0.02346206914377576)	(24, 0.023558449597732078)	(26, 0.023683306094902767)	(28, 0.024051304191826894)	(30, 0.02472158643979584)	(32, 0.02543129705529237)	(34, 0.026279006957135448)	(36, 0.028118997441756086)	(38, 0.029102516165083074)	(40, 0.047734610286729665)	(42, 0.06281157993630566)	(44, 0.06748822241804979)	(46, 0.08184014819809075)	(48, 0.0957802665839547)	(50, 0.09541226848703058)	(52, 0.09040486581102729)	(54, 0.07596313097161793)	(56, 0.06728889011554921)	(58, 0.06754079357475322)	(60, 0.07352952450922087)	(62, 0.07977234936775517)	(64, 0.08652993346901072)	(66, 0.09299618574353467)	(68, 0.0949807469090898)	(70, 0.09184181076092149)	(72, 0.10289270599295854)	(74, 0.11252198952913986)	(76, 0.12512154341906592)	(78, 0.14040879769545572)	(80, 0.15248921141293525)	(82, 0.1677677038298745)	(84, 0.1830111488090114)	(86, 0.19891611417666666)	(88, 0.21646173772644203)	(90, 0.23528221182627598)	(92, 0.25971246643934026)	(94, 0.289031838625825)	(96, 0.32166976507921485)	(98, 0.36059651615325455)	(100, 0.4084997922344078)	(102, 0.4639316960484671)	(104, 0.5265198485687832)	(106, 0.5995652803433598)	(108, 0.678446110512019)	(110, 0.7758889399267201)	(112, 0.8680637013467635)	(114, 0.9635854930769263)	(116, 1.0963276637531294)	(118, 1.2774265367370528)	(120, 1.5250082087670729)	(122, 1.612802040461829)	(124, 1.6134087992287813)
SRR11856165_1	(1, 0.49689976587578566)	(2, 0.3922082246637956)	(3, 0.3922190712801665)	(4, 0.3922461878210938)	(5, 0.392273304362021)	(6, 0.12719827018162116)	(7, 0.10867767272829823)	(8, 0.10322724800191768)	(9, 0.10182803449007073)	(10, 0.09326191921114729)	(12, 0.08617907872094531)	(14, 0.08558522647463816)	(16, 0.08548760692730001)	(18, 0.08598383962626899)	(20, 0.08581029376433448)	(22, 0.08579944714796357)	(24, 0.09115225232700595)	(26, 0.09831915409408247)	(28, 0.09934958264931858)	(30, 0.09766022214954988)	(32, 0.12020762593057188)	(34, 0.1225396484503168)	(36, 0.12524045592667254)	(38, 0.1313850641007911)	(40, 0.14543414395520782)	(42, 0.13569388245413375)	(44, 0.14656761536596755)	(46, 0.15854770314763383)	(48, 0.15828196104654663)	(50, 0.1595537268160354)	(52, 0.17730150285293128)	(54, 0.17398243824343385)	(56, 0.1961258055646396)	(58, 0.18247805051594643)	(60, 0.18270854111382817)	(62, 0.17805534269070927)	(64, 0.12539773186405068)	(66, 0.08552557008459818)	(68, 0.10303200890724136)	(70, 0.1289635569959862)	(72, 0.13322356557565976)	(74, 0.14691741874392927)	(76, 0.16807374397538252)	(78, 0.22500220999808557)	(80, 0.25479515351487314)	(82, 0.24136161913950538)	(84, 0.27170774009120924)	(86, 0.30233316141446387)	(88, 0.3305018241297082)	(90, 0.358239333844209)	(92, 0.4067535372171812)	(94, 0.4547850661616482)	(96, 0.48973015245461643)	(98, 0.5615022129809051)	(100, 0.6300501167909418)	(102, 0.7025949987336575)	(104, 0.8230927716521511)	(106, 0.9042037688737905)	(108, 1.0008308508140114)	(110, 1.094030401981026)	(112, 1.2115941651711895)	(114, 1.3501922291586335)	(116, 1.5039782677194393)	(118, 1.7453615800916862)	(120, 2.0792150086800048)	(122, 2.2024488405780596)	(124, 2.206470223597573)
SRR11856165_2	(1, 0.33403239775843824)	(2, 0.3292110767815703)	(3, 0.3297425609837447)	(4, 0.32162386863012116)	(5, 0.31176971765715256)	(6, 0.1230385928033785)	(7, 0.10628599381851334)	(8, 0.09630168344909384)	(9, 0.09403474062757437)	(10, 0.08768947005059403)	(12, 0.08306881147658786)	(14, 0.08262138855128795)	(16, 0.08262138855128795)	(18, 0.08265392840040067)	(20, 0.08231768329290257)	(22, 0.08239903291568437)	(24, 0.08255088554487706)	(26, 0.08289797726874608)	(28, 0.08373045507521315)	(30, 0.08471207385678019)	(32, 0.08575334902838723)	(34, 0.08690851367188877)	(36, 0.08924053619163368)	(38, 0.09059365158390427)	(40, 0.10974877609492524)	(42, 0.1260702220790469)	(44, 0.1315803031954674)	(46, 0.14732416685783828)	(48, 0.16232774895289478)	(50, 0.16293787112375827)	(52, 0.15896529787791375)	(54, 0.14441185036224985)	(56, 0.13645043394600445)	(58, 0.13695208995315888)	(60, 0.1447318255451916)	(62, 0.15332776901913506)	(64, 0.16257722112942563)	(66, 0.1719703909066307)	(68, 0.14933621419464144)	(70, 0.1196083503760793)	(72, 0.13530611591887381)	(74, 0.14914097509996513)	(76, 0.16662029738168105)	(78, 0.1862011515852601)	(80, 0.20206703968180367)	(82, 0.22213056831388808)	(84, 0.24390515067848295)	(86, 0.2655522853007197)	(88, 0.28884539395724157)	(90, 0.31464949430362826)	(92, 0.3480462261096495)	(94, 0.3874980815047294)	(96, 0.4301822285783394)	(98, 0.4856653829696192)	(100, 0.5561304262232136)	(102, 0.6351426031770824)	(104, 0.7245946483879487)	(106, 0.8284726933721209)	(108, 0.9386607574300678)	(110, 1.0736116466627945)	(112, 1.1939629902602809)	(114, 1.32550533029845)	(116, 1.4890370536685156)	(118, 1.7276517672120888)	(120, 2.0327155642979284)	(122, 2.129345357892242)	(124, 2.12995005675492)
SRR11856166_1	(1, 1.559632316741938)	(2, 1.5639856811204864)	(3, 1.5607812676311916)	(4, 1.55978515883271)	(5, 1.5618564326835207)	(6, 1.292105953721207)	(7, 1.2550233002496964)	(8, 1.2484247382618723)	(9, 1.2477922882310906)	(10, 1.2421292252471312)	(12, 1.2384004052739797)	(14, 1.2383766883978253)	(16, 1.2386006811170607)	(18, 1.2389485286339907)	(20, 1.2393121874016901)	(22, 1.2397838897163151)	(24, 1.2405691818378692)	(26, 1.2417471200202006)	(28, 1.4299563435555)	(30, 1.2480558090772496)	(32, 1.2515685419565505)	(34, 1.2610552924182787)	(36, 1.308913313289235)	(38, 1.5312642976529096)	(40, 1.8821080466037672)	(42, 1.8105067974938747)	(44, 1.562391380001224)	(46, 1.3226901831264335)	(48, 1.3432184570422283)	(50, 1.3719580405243412)	(52, 1.4026186909749538)	(54, 1.439432553183382)	(56, 1.4791161574064826)	(58, 1.5075026229547424)	(60, 1.5495500091678902)	(62, 1.6032660984489637)	(64, 1.0471791384670814)	(66, 0.4763139294325959)	(68, 0.5411426927961992)	(70, 0.612251157923774)	(72, 0.6832779315890397)	(74, 0.7573220189428271)	(76, 0.8345151804082159)	(78, 0.9217590269461133)	(80, 1.0156778565172209)	(82, 1.1084371943652285)	(84, 1.2061955226648746)	(86, 1.304446634946838)	(88, 1.408869405445848)	(90, 1.5187997616295834)	(92, 1.6465151397205973)	(94, 1.7909271986242525)	(96, 1.956555320852178)	(98, 2.1477449651575373)	(100, 2.358140008730973)	(102, 2.5938435943695293)	(104, 2.8212752606471514)	(106, 3.0635247041043003)	(108, 3.302899135129853)	(110, 3.5807739617792524)	(112, 3.9487492009389142)	(114, 4.315311968363162)	(116, 4.680306786752765)	(118, 5.12014943107694)	(120, 5.642866746309694)	(122, 5.804181032285995)	(124, 5.81856663527782)
SRR11856166_2	(1, 1.3531900858608892)	(2, 1.3532533308639674)	(3, 1.3535800967132048)	(4, 1.353358739202431)	(5, 1.3533534687855078)	(6, 0.9421291883542127)	(7, 0.922185930716891)	(8, 0.918164602604503)	(9, 0.9175795863260297)	(10, 0.9148178878582822)	(12, 0.9114606322782153)	(14, 0.9117294235412975)	(16, 0.9125173508713132)	(18, 0.9122037610643838)	(20, 0.9125437029559291)	(22, 0.9130812854820937)	(24, 0.9138138734344161)	(26, 0.9152395212121368)	(28, 0.9179142578006518)	(30, 0.9215851031876483)	(32, 0.9262915855000501)	(34, 0.9315751784655402)	(36, 0.9381421179518253)	(38, 0.9457525999889005)	(40, 0.9552894194113988)	(42, 0.9687447938162831)	(44, 0.9835177724519629)	(46, 0.9995451103153601)	(48, 1.0220445201604251)	(50, 1.0486074214532637)	(52, 1.0782904095646262)	(54, 1.111206798458361)	(56, 1.1428029479128385)	(58, 1.1769209918650587)	(60, 1.2248975971167868)	(62, 1.2728610263262068)	(64, 1.3251514678295595)	(66, 1.3835160648368798)	(68, 1.0087920568070834)	(70, 0.6113156589199092)	(72, 0.6797862803774315)	(74, 0.7531768360327442)	(76, 0.8391768641767706)	(78, 0.9298570225485828)	(80, 1.0268748572705217)	(82, 1.1224433273385854)	(84, 1.213444981142712)	(86, 1.3098804347946391)	(88, 1.4188831975998943)	(90, 1.5350326457529846)	(92, 1.672993714342665)	(94, 1.8281547885611502)	(96, 2.001751781176927)	(98, 2.2008417804501366)	(100, 2.418101542066017)	(102, 2.6402285337104563)	(104, 2.8725458764758685)	(106, 3.1136832619622257)	(108, 3.3766111862174806)	(110, 3.6578011051115613)	(112, 3.9435341233934254)	(114, 4.257793273272013)	(116, 4.6297608532509855)	(118, 5.071611526422893)	(120, 5.5326043538597975)	(122, 5.6597373508808)	(124, 5.659407949823101)
